volume48article3_3_1,"3-amino-3-pyrazoline sulfate, sodium bicarbonate, p-toluenesulfonyl chloride","183 g (1.00 mole), 210 g, 229 g (1.20 moles)",3-imino-1-(p-tolylsulfonyl)Pyrazolidine,139-180 g,"water, benzene, ether",18-25°C,5 hours,58-75%
volume48article3_4_1,"sodium, isopropyl alcohol, 3-imino-1-(p-tolylsulfonyl)-pyrazolidine","18.4 g (0.80 g atom), 500 ml, 191 g (0.80 mole)",3(5)-Aminopyrazole,62-66 g,isopropyl alcohol,60-70°C,2 hours,93-99%
volume48article4_1_1,"anthranilic acid, trichloroacetic acid, isoamyl nitrite","34.2 g (0.25 mole), 0.3 g, 55 ml (48 g, 0.41 mole)",Benzenediazonium-2-carboxylate,N/A,tetrahydrofuran,18-25°C,1-1.5 hours,N/A
volume48article4_2_1,benzenediazonium-2-carboxylate,N/A,Biphenylene,4.0-5.6 g,"1,2-dichloroethane, ethylene glycol","Boiling, 150-197°C",N/A,21-30%
volume48article5_1_1,"cyclohexene, cuprous bromide, t-butyl perbenzoate","41 g (0.50 mole), 0.05 g (0.00035 mole), 40 g (0.21 mole)",3-benzoyloxycyclohexene,29-33 g,N/A,80-82°C,4.5 hours,71-80%
volume48article6_1_1,"lithium aluminum hydride, dibenzyl ketoxime","3.80 g (0.100 mole), 11.27 g (0.0500 mole)",cis-2-benzyl-3-phenylaziridine,7.45-8.15 g,tetrahydrofuran,reflux,3 hours,71-78%
volume48article7_1_1,"7,7-dimethoxybicyclo[2.2.1]heptene",45.9 g (0.298 mole),Bicyclo[2.2.1]hepten-7-one,28.9 g,5% aqueous sulfuric acid,N/A,20 hours,90%
volume48article8_1_1,"benzaldehyde, chloroform, potassium hydroxide","212 g (2.00 moles), 400 g (270 ml, 3.35 moles), 123 g","1-Phenyl-2,2,2-trichloroethanol",170-180 g,chloroform,40-50°C,"1-1.5 hours, additional hour",38-40%
volume48article8_1_2,p-CHLOROPHENYL ISOTHIOCYANATE,N/A,p-chlorophenyl isothiocyanate,N/A,N/A,N/A,N/A,N/A
volume48article8_1_3,4-METHYLESCULETIN,"60 g (0.45 mole) of ethyl acetoacetate, 114 g (0.45 mole) of hydroxyhydroquinone triacetate, 450 cc of 75% sulfuric acid",4-methylesculetin,80 g,N/A,80°C,30 minutes,92%
volume48article8_1_4,2-BUTYN-1-OL,"250 g (2 moles) of 1,3-dichloro-2-butene, 1.25 l of 10% sodium carbonate",2-butyn-1-ol,66-75 g,water,reflux,3 hours,75-85%
volume48article8_1_5,ALKYL AND ALKYLENE BROMIDES,"Primary alcohol, aqueous hydrobromic acid, sulfuric acid",Corresponding alkyl bromide,N/A,water,Reflux,N/A,N/A
volume48article8_1_6,ALKYL AND ALKYLENE BROMIDES,"iso-amyl alcohol, hydrobromic acid, sulfuric acid",iso-amyl bromide,1330-1360 g,hydrobromic acid,reflux,5-6 hours,88-90%
volume48article8_1_7,"1,4-CYCLOHEXANEDIONE","ethyl acetoacetate, hydroxyhydroquinone triacetate, sulfuric acid",4-methylesculetin,80 g,sulfuric acid,80°C,30 minutes,92%
volume48article8_1_8,SYNTHESIS OF CHIRAL (E)-CROTYLSILANES: [3R- AND 3S-]-(4E)-METHYL 3-(DIMETHYLPHENYLSILYL)-4-HEXENOATE,"methyl (tert-butoxycarbonyl)-glycinate, 1-amino pyridinium iodide, methanol, potassium carbonate",((tert-Butoxycarbonyl)glycyl)(pyridin-1-ium-1-yl)amide,6.39 g,methanol,22°C,64 hours,85%
volume48article8_1_9,p-BROMOMANDELIC ACID,"p,α,α-tribromoacetophenone, sodium hydroxide, hydrochloric acid",p-Bromomandelic acid,40-48 g,water,10°C,4-5 days,69-83%
volume48article8_1_10,p-BROMODIPHENYLMETHANE,"89 g (0.25 mole) of p,α,α-tribromoacetophenone, 100–150 ml of cold water",p-Bromodiphenylmethane,N/A,water,N/A,N/A,N/A
volume48article8_2_1,"1-phenyl-2,2,2-trichloroethanol, bromobenzene, concentrated sulfuric acid, oleum","136 g (0.60 mole), 120 g (81 ml, 0.77 mole), 120 ml, 50 ml","1-p-Bromophenyl-1-phenyl-2,2,2-trichloroethane",129-162 g,"ice, ethanol","10°C, room temperature",4-5 hours,59-74%
volume48article8_3_1,"1-p-bromophenyl-1-phenyl-2,2,2-trichloroethane, potassium hydroxide","146 g (0.40 mole), 190 g",p-Bromodiphenylmethane,74-79 g,diethylene glycol,180°C,5 hours,75-80%
volume48article9_1_1,"pyrene, bromine","8.08 g (0.040 mole), 2.0 ml (6.24 g, 0.039 mole)",3-bromopyrene,8.5-9.5 g,carbon tetrachloride,N/A,overnight,78-86%
volume48article10_1_1,"t-butyl alcohol, sodium cyanate, trifluoroacetic acid","14.8 g (0.20 mole), 26.0 g (0.40 mole), 48.0 g (31.2 ml, 0.42 mole)",t-butyl carbamate,17.7-22.0 g,benzene,Room temperature,Overnight,76-94%
volume48article11_1_1,"sodium azide, p-toluenesulfonyl chloride","71.5 g (1.10 moles), 190.5 g (1.00 mole)",p-Toluenesulfonyl azide,160-170 g,"water, ethanol",Room temperature,2.5 hours,81-86%
volume48article11_2_1,"t-butyl acetoacetate, triethylamine, p-toluenesulfonyl azide","118.5 g (0.75 mole), 75.8 g (0.75 mole), 148 g (0.75 mole)",t-Butyl α-diazoacetoacetate,130-135 g,acetonitrile,20°C,2.5 hours,94-98%
volume48article11_3_1,"t-butyl α-diazoacetoacetate, sodium methoxide","92.6 g (0.50 mole), 11.5 g (0.50 g atom)",t-Butyl diazoacetate,48-50 g,methanol,2-3°C,30 minutes,68-70%
volume48article12_1_1,"sodium methoxide, 2-methylcyclohexanone, ethyl formate","54.0 g (1.00 mole), 123 g (1.10 moles), 81.4 g (1.10 moles)",Sodio-2-formyl-6-methylcyclohexanone,130-138 g,ether,Room temperature,12 hours,80-85%
volume48article12_1_2,"sodio-2-formyl-6-methylcyclohexanone, n-butyl bromide","24.9 g (0.154 mole), 28.2 g (0.21 mole)",2-n-butyl-2-methylcyclohexanone,14-19 g,liquid ammonia,Reflux,6-8 hours,54-74%
volume48article13_1_1,"Imidazole, phosgene","45.60 g (0.669 mole), 16.55 g (0.167 mole)","1,1'-Carbonyldiimidazole",24.8 g,"benzene, tetrahydrofuran",Room temperature,1 hour,80-94%
volume48article14_1_1,"phosphorus trichloride, isopropylmagnesium chloride","34.4 g (21.8 ml, 0.25 mole), 0.50 mole",Chlorodiisopropylphosphine,21-23 g,ether,"-25 to -30°C, reflux","1.5 hours, 30 minutes",55-60%
volume48article15_1_1,"triphenylphosphine, bromine, cinnamyl alcohol","106.4 g (0.41 mole), 64 g (0.40 mole), 54 g (0.40 mole)",Cinnamyl bromide,47-56 g,acetonitrile,"Ice-water bath, 120°C","15-20 minutes, 5-10 minutes",60-71%
volume48article16_1_1,"sodium amide, o-chlorohydrocinnamonitrile, ammonium nitrate","62.5 g (1.60 moles), 66.3 g (0.400 mole), 96 g (1.2 moles)",1-cyanobenzocyclobutene,33-34 g,"liquid ammonia, chloroform",N/A,3 hours,64-66%
volume48article17_1_1,"cyclooctanone, pyrrolidine, xylene, p-toluenesulfonic acid","126 g (1.00 mole), 100 g (1.4 moles), 100 ml, 0.5 g",N-(1-cycloocten-1-yl)pyrrolidine,152-161 g,hexane,Reflux,N/A,N/A
volume48article17_1_2,"N-(1-cycloocten-1-yl)pyrrolidine, methyl propiolate",N/A,methyl 10-oxocyclodec-2-ene-1-carboxylate,N/A,ether,25-30°C,1 hour,N/A
volume48article17_1_3,"methyl 10-oxocyclodec-2-ene-1-carboxylate, 5% palladium-on-alumina catalyst",N/A,cyclodecanone,68-77 g,methanol,Room temperature,N/A,44-50%
volume48article18_1_1,"aminomalononitrile p-toluenesulfonate, sodium cyanide","10.0 g (0.0395 mole), 10.0 g (0.204 mole)",Diaminomaleonitrile,0.95-1.1 g,"water, isobutyl alcohol","0°C, boiling","1 minute, N/A",22-26%
volume48article19_1_1,"1,2-dimethoxyethane, t-nitrobutane, sodium","1300 ml, 89.7 g (0.87 mole), 19.9 g (0.87 g atom)",di-t-butyl nitroxide,26-27 g,glyme,25-30°C,24 hours,42-43%
volume48article20_1_1,"2-(p-tolylsulfonyl)dihydroisoindole, phenol, hydrobromic acid, propionic acid","36.0 g (0.132 mole), 36.0 g (0.38 mole), 270 ml, 45 ml","1,3-dihydroisoindole",9.9-11.2 g,ether,Reflux,2 hours,63-71%
volume48article21_1_1,"hexachlorocyclopentadiene, potassium hydroxide","254 g (0.93 mole), 120 g (2.14 moles)","5,5-Dimethoxy-1,2,3,4-tetrachlorocyclopentadiene",187-189 g,methanol,N/A,2 hours,76-77%
volume48article21_2_1,"5,5-dimethoxy-1,2,3,4-tetrachlorocyclopentadiene",189 g (0.72 mole),"7,7-Dimethoxy-1,2,3,4-tetrachlorobicyclo[2.2.1]hept-2-ene",155-165 g,N/A,180-190°C,6 hours,73-78%
volume48article21_3_1,"7,7-dimethoxy-1,2,3,4-tetrachlorobicyclo[2.2.1]hept-2-ene, sodium, t-butyl alcohol","106 g (0.36 mole), 130 g (5.7 g atoms), 190 ml (150 g, 2.0 moles)","7,7-Dimethoxybicyclo[2.2.1]heptene",17-24 g,tetrahydrofuran,Reflux,38 hours,31-43%
volume48article22_1_1,"tetramethyl-1,3-cyclobutanedione, chlorobenzene, anhydrous aluminum chloride","200 g (1.43 moles), 50 g, 1.8 g",DIMETHYLKETENE β-LACTONE DIMER,122-132 g,N/A,135°C,5 hours,61-67%
volume48article23_1_1,"sodium hydride dispersion, 1,2-dimethoxyethane, triethyl phosphonoacetate, benzophenone, potassium hydroxide","8.8 g (0.20 mole), 300 ml, 44.8 g (0.20 mole), 36.4 g (0.20 mole), 26.4 g (0.40 mole)",β-phenylcinnamic acid,28.3-33.9 g,"mineral oil, water, dioxane, ether, benzene",reflux,"4 days, overnight",63-75%
volume48article23_2_1,"β-phenylcinnamic acid, lithium aluminum hydride","20 g (0.089 mole), 5.13 g (0.135 mole)","1,1-Diphenylcyclopropane",10.0-10.7 g,tetrahydrofuran,Reflux,2 hours,57-62%
volume48article24_1_1,"sodium amide, diphenylmethane, n-Butyl bromide","6.32 g (0.275 g atom), 42.0 g (0.250 mole), 37.6 g (0.274 mole)","1,1-diphenylpentane",51.6 g,"liquid ammonia, ether",N/A,15 minutes,92%
volume48article25_1_1,"ethyl isocyanate, N,N-dimethyl-1,3-propanediamine, triethylamine, p-toluenesulfonyl chloride","100 g (1.41 moles), 144 g (1.41 moles), 500 ml, 300 g (1.6 moles)",1-Ethyl-3-(3-dimethylamino)propylcarbodiimide,110-118 g,methylene chloride,"5-10°C, reflux",3 hours,50-54%
volume48article25_2_1,"pyridine hydrochloride, 1-ethyl-3-(3-dimethylamino)propylcarbodiimide","34.6 g (0.300 mole), 46.5 g (0.300 mole)",1-Ethyl-3-(3-dimethylamino)propylcarbodiimide hydrochloride,50.5-55.5 g,"methylene chloride, anhydrous ether",0-5°C,16-20 hours,88-96.5%
volume48article25_3_1,"1-ethyl-3-(3-dimethylamino)propylcarbodiimide, methyl iodide","30.0 g (0.193 mole), 30.0 g (0.21 mole)",1-Ethyl-3-(3-dimethylamino)propylcarbodiimide methiodide,50.5-52.5 g,ether,N/A,48 hours,88-91.5%
volume48article26_1_1,"trifluoroacetic anhydride, hydrogen peroxide, hexamethylbenzene, boron trifluoride etherate","46.2 g (0.22 mole), 5.40 ml (0.20 mole), 24.2 g (0.15 mole), 63.3 ml","2,3,4,5,6,6-hexamethyl-2,4-cyclohexadien-1-one",22-24 g,methylene chloride,0-5°C,1 hour,82-90%
volume48article27_1_1,2-methyl-1-indanone,"8.0 g (7.5 ml, 0.055 mole)",2-hydroxy-3-methylisocarbostyril,6.0-6.6 g,toluene,"0°C, room temperature","1 hour at 0°C, additional hour at room temperature",62-69%
volume48article28_1_1,"3-bromopyrene, copper bronze powder, cuprous oxide, sodium hydroxide","14.0 g (0.050 mole), 0.5 g, 1.5 g, 60 ml",3-hydroxypyrene,5.5-6.0 g,"water, benzene",275-280°C,3 hours,50-55%
volume48article29_1_1,"Phosphorus pentasulfide, N-Methyl-2-pyrrolidinone","667 g (3.00 moles), 300 g (3.03 moles)",N-Methyl-2-pyrrolidinethione,310.3 g,carbon disulfide,Reflux,10 hours,89%
volume48article29_2_1,"N-Methyl-2-pyrrolidinethione, methyl iodide","310 g (2.69 moles), 520 g (3.66 moles)",2-Methylmercapto-N-methyl-Δ 1-pyrrolinium iodide,663 g,ether,N/A,12 hours,96%
volume48article29_3_1,"2-Methylmercapto-N-methyl-Δ 1-pyrrolinium iodide, potassium t-butoxide","662 g (2.57 moles), 448 g (4.0 moles)",2-Methylmercapto-N-methyl-Δ 2-pyrroline,268 g,anhydrous ether,"Room temperature, reflux","1.5 hours, 5 hours",81%
volume48article30_1_1,"p-Toluidine, potassium nitrite, hydrochloric acid, sodium carbonate, methylamine","50.2 g (0.47 mole), 46.8 g (0.55 mole), 140 ml, 150 g, 300 ml",1-Methyl-3-p-tolyltriazene,33-37 g,"water, ether",-10°C,"1-2 hours, additional hour, 45 minutes",47-53%
volume48article30_2_1,"1-methyl-3-p-tolyltriazene, 3,5-dinitrobenzoic acid","1.05 g (7.0 mmoles), 1.50 g (7.1 mmoles)","methyl 3,5-dinitrobenzoate",1.11-1.42 g,ether,N/A,ca. 1 hour,70-90%
volume48article31_1_1,"triethylamine, diazomethane, D-camphor-10-sulfonyl chloride","7.0 g (0.069 mole), 3.15 g (0.075 mole), 13.0 g (0.052 mole)","D-2-Oxo-7,7-dimethyl-1-vinylbicyclo[2.2.2]heptane",1.7 g,ether,"Ice bath, 95°C","1 hour, 30 minutes",71%
volume48article32_1_1,"dimethyl sulfoxide, t-butyl alcohol, potassium t-butoxide, ethyl benzoate","90 ml (99 g, 1.27 moles), 120 ml, 57.4 g (0.51 mole), 72 ml (75 g, 0.50 mole)",Phenylglyoxal hemimercaptal,69-74 g,N/A,80°C,4 hours,76-81%
volume48article32_2_1,"Phenylglyoxal hemimercaptal, cupric acetate monohydrate","69-74 g, 60 g (0.30 mole)",Phenylglyoxal,43-49 g,chloroform,Room temperature,1 hour,64-73%
volume48article33_1_1,"Aniline, o-nitrobenzaldehyde","14 g (0.15 mole), 22.7 g (0.15 mole)",o-Nitrobenzalaniline,29.4-31.8 g,ether,Heated on water bath,1 hour,87-94%
volume48article33_2_1,"triethyl phosphite, o-nitrobenzalaniline","50 g (0.30 mole), 22.6 g (0.10 mole)",2-Phenylindazole,10-12 g,N/A,150°C,8 hours,52-62%
volume48article34_1_1,"triphenylphosphine, α,α,α-trifluoroacetophenone, sodium chlorodifluoroacetate","65.6 g (0.250 mole), 43.5 g (0.250 mole), 76.2 g (0.500 mole)",2-phenylperfluoropropene,26-31 g,diglyme,130-140°C,1 hour,50-60%
volume48article35_1_1,"sodium, ethanol, acetone oxime, ethyl α-bromopropionate","17.5 g (0.76 g atom), 500 ml, 55.0 g (0.75 mole), 136 g (0.75 mole)",Ethyl α-(isopropylideneaminooxy)propionate,71-77 g,ethanol,5-10°C,12 hours,55-59%
volume48article35_2_1,"ethyl α-(isopropylideneaminooxy)propionate, sodium hydroxide, hydrochloric acid, ammonium sulfate","52 g (0.30 mole), 300 ml, 5N, 175 g","d,l-α-(Isopropylideneaminooxy)propionic acid",35-37 g,"ether, benzene",70°C,20 minutes,80-85%
volume48article35_3_1,"(−)-ephedrine monohydrate, d,l-α-(isopropylideneaminooxy)propionic acid","36.6 g (0.200 mole), 29.0 g (0.200 mole)","(−)-ephedrine-(+)-α-(isopropylideneaminooxy)propionic acid salt, monohydrate of the (−)-ephedrine-(−)-α-(isopropylideneaminooxy)propionic acid salt","22-25 g, 19-26 g","ethyl acetate, ethanol, petroleum ether","0-5°C, refrigerator",8-16 hours,"71-81%, 58-79%"
volume48article35_4_1,"(−)-base-(+)-acid salt, 5N hydrochloric acid","20 g (0.064 mole), 14 ml (0.070 mole)",(+)-α-(isopropylideneaminooxy)propionic acid,5.5-6.5 g,"ether, benzene",N/A,N/A,59-70%
volume48article35_4_2,(−)-base-(−)-acid salt,20 g (0.061 mole),(−)-acid,6.4-6.7 g,petroleum ether,N/A,N/A,73-76%
volume48article35_5_1,"Optical antipode of α-(isopropylideneaminooxy)propionic acid, 2,4,5,7-tetranitrofluorenone, concentrated sulfuric acid","5.5 g (0.038 mole), 9.0 g (0.025 mole), 0.30-0.35 ml","(+)- and (-)-α-(2,4,5,7-Tetranitro-9-fluorenylideneaminooxy)propionic acid",7.8-10.0 g,96% acetic acid,Reflux,2 hours,70-90%
volume48article36_1_1,"3-hydroxy-2,2,4-trimethyl-3-pentenoic acid β-lactone, anhydrous zinc chloride, anhydrous hydrogen chloride","280 g (2.00 moles), 5 g, N/A","2,2,4-trimethyl-3-oxovaleryl chloride",310-330 g,N/A,10-70°C,30 minutes,88-93%
volume48article37_1_1,"Phenol, β-bromophenetole, triphenylphosphine","1 lb, 100 g (0.50 mole), 131 g (0.50 mole)",Vinyl triphenylphosphonium bromide,122-158 g,"ether, ethyl acetate",90°C,"48 hours, 24 hours",66-86%
volume49article1_1_1,"ethyl azodicarboxylate, cyclopentadiene","174 g (1.0 mole), 70 g (1.06 moles)","Diethyl 2,3-diazabicyclo[2.2.1]hept-5-ene-2,3-dicarboxylate",218-228 g,ether,Reflux,4 hours,91-95%
volume49article1_2_1,"diethyl 2,3-diazabicyclo[2.2.1] hept-5-ene-2,3-dicarboxylate, ethanol","112 g (0.47 mole), 125 ml","Diethyl 2,3-diazabicyclo[2.2.1]heptane-2,3-dicarboxylate",218-223 g,ethanol,N/A,2 hours,95-97%
volume49article1_3_1,"diethyl 2,3-diazabicyclo[2.2.1]heptane-2,3-dicarboxylate, potassium hydroxide pellets, ethylene glycol","223 g (0.92 moles), 275 g (4.2 moles), 1.2 l","2,3-Diazabicyclo[2.2.1]hept-2-ene",78-83 g,ethylene glycol,125°C,1 hour,88-94%
volume49article1_4_1,"2,3-diazabicyclo[2.2.1]hept-2-ene",83 g,Bicyclo[2.1.0]pentane,53.5-55.5 g,pentane,"130-140°C, 180-195°C",8 hours,90.0-93.5%
volume49article2_1_1,"triphenylphosphine, bromine, β-naphthol","144 g (0.55 mole), 88 g, 72 g (0.50 mole)",2-bromonaphthalene,72-81 g,acetonitrile,"60-70°C, 200-220°C, 340°C",at least 30 minutes,70-78%
volume49article3_1_1,"t-butyl alcohol, glacial acetic acid","37 ml (0.39 mole), 24.5 ml (0.43 mole)",t-butyl hypochlorite,29.6-34 g,water,<10°C,3 minutes,70-80%
volume49article4_1_1,"t-butylamine, benzaldehyde","109.5 g (1.5 moles), 106 g (1.0 mole)",N-t-butylbenzaldimine,120-151 g,benzene,40-50°C,20 minutes,78-94%
volume49article4_2_1,"N-t-buylbenzaldimine, perbenzoic acid","68.0 g (0.422 mole), 61 g (0.445 mole)",2-t-Butyl-3-phenyloxazirane,42-55 g,benzene,Ice bath,Overnight,56-74%
volume49article5_1_1,"phosphorus pentachloride, p-chloroanisole","147 g (0.704 mole), 100 g (0.704 mole)",p-chlorophenoxymethyl chloride,85-99 g,N/A,120-175°C,2 hours,68-80%
volume49article6_1_1,s-trithiane,210 g (1.52 moles),Chloromethanesulfonyl chloride,135-220 g,"glacial acetic acid, water",40-50°C,"1-2 hours, 3 hours",20-32%
volume49article6_2_1,"diazomethane, chloromethanesulfonyl chloride, triethylamine","4.6 g (0.11 mole), 14.9 g (0.100 mole), 10.0 g (0.099 mole)","2-Chlorothiirane 1,1-dioxide",8.9 g,ether,-10°C,45 minutes,80-84%
volume49article7_1_1,"80% glyoxylic acid, p-toluenesulfonylhydrazide, aqueous hydrochloric acid","46.3 g (0.50 mole), 93.1 g (0.50 mole), 250 ml (0.63 mole)",Glyoxylic acid p-toluenesulfonylhydrazone,92.4-98.5 g,"water, ethyl acetate, carbon tetrachloride",60°C,"5 minutes, overnight",76-81%
volume49article7_2_1,"glyoxylic acid p-toluenesulfonylhydrazone, thionyl chloride","50.2 g (0.21 mole), 30 ml (49 g, 0.42 mole)",p-toluenesulfonylhydrazone of glyoxylic acid chloride,"27.6-33.4 g (first crop), 3.3-3.6 g (second crop)",benzene,reflux,1.5-2.5 hours,"50-61% (first crop), 6-7% (second crop)"
volume49article7_3_1,"p-toluenesulfonylhydrazone of glyoxylic acid chloride, crotyl alcohol, triethylamine","10.0 g (0.038 mole), 2.80 g (0.038 mole), 7.80 g (0.077 mole)",Crotyl diazoacetate,2.20-2.94 g,"methylene chloride, benzene","0°C, 25°C",1 hour,42-55%
volume49article8_1_1,"cyclooctene, nitrosyl chloride, hydrogen chloride","55 g (0.50 mole), 36 g (0.55 mole), excess",2-Chlorocyclooctanone oxime hydrochloride,107.2 g,trichloroethylene,5-10°C,1.5 hours,100%
volume49article8_2_1,"crude 2-chlorocyclooctanone oxime hydrochloride, triethylamine","53.5 g (0.252 mole), 60.7 g (0.60 mole)",2-Methoxycyclooctanone oxime,42.8 g,methanol,Below 50°C,30 minutes,N/A
volume49article8_3_1,"2-methoxycyclooctanone oxime, phosphorus pentachloride","42.8 g (0.25 mole), 62.5 g (0.30 mole)",7-cyanoheptanal,29.6 g,absolute ether,5°C,50 minutes,85.2%
volume49article9_1_1,"cis,trans,trans-1,5,9-cyclododecatriene, hydrazine, copper(II) sulfate pentahydrate","60.0 g (0.370 mole), 224.4 g (7.00 moles), 3.0 g (0.012 mole)",cis-cyclododecene,39.5-52.0 g,ethanol,50-60°C,8-12 hours,64-85%
volume49article10_1_1,"cis-cyclooctene, bromoform","178 g (214 ml, 1.62 moles), 420 g (148 ml, 1.66 moles)","9,9-dibromobicyclo[6.1.0]nonane",237-299 g,"t-butyl alcohol, pentane","reflux, room temperature",overnight,52-65%
volume49article10_2_1,"9,9-dibromobicyclo[6.1.0]nonane, methyllithium","187 g (116 ml, 0.66 mole), 450 ml","1,2-cyclononadiene",66-73 g,ether,-30 to -40°C,30 minutes,81-91%
volume49article11_1_1,"N,N-dimethylcyclooctylamine, iodomethane","155.3 g (1 mole), 170.3 g (1.2 moles)","N,N,N-Trimethylcyclooctylammonium iodide",291-296 g,methanol,25°C,4 hours,N/A
volume49article11_2_1,"N,N,N-trimethylcyclooctylammonium iodide, silver oxide","100 g (0.34 mole), 76 g","N,N,N-Trimethylcyclooctylammonium hydroxide",N/A,water,Room temperature,5 hours,N/A
volume49article11_3_1,Quaternary ammonium hydroxide,N/A,cis- and trans-cyclooctenes,15.0-15.3 g,n-pentane,110-125°C,N/A,40%
volume49article12_1_1,"bis-3,4-dichlorobenzoyl peroxide, m-dinitro-benzene","38 g (0.1 mole), 3 g","3,4-dichlorobiphenyl",17.3-18.0 g,benzene,Reflux,40 hours,78-81%
volume49article13_1_1,"2,6-dichloroaniline, hydrogen peroxide, trifluoroacetic anhydride","8.1 g (0.05 mole), 5.4 ml (0.20 mole), 34.0 ml (0.24 mole)","2,6-dichloronitrobenzene",5.7-7.0 g,methylene chloride,Room temperature,1 hour,59-73%
volume49article14_1_1,"3,3'-Dimethoxybiphenyl, boron tribromide","8 g (0.037 mole), 15.9 g (6.0 ml, 0.063 mole)","3,3'-Dihydroxybiphenyl",5.4-6.0 g,methylene chloride,-80°C,overnight,77-86%
volume49article15_1_1,"4,4'-dimethoxybibenzyl, 2,3-dichloro-5,6-dicyano-1,4-benzoquinone","100 mg (0.41 mmole), 103 mg (0.45 mmole)","trans-4,4'-dimethoxystilbene",82-84 mg,dioxane,105°C,18 hours,83-85%
volume49article16_1_1,"magnesium ribbon, methanol, dimethylformamide, carbon dioxide, cyclohexanone, methanol, hydrogen chloride","40.0 g (1.64 g atoms), 600 ml, 700 ml, N/A, 20.0 g, 700 ml, 290-300 g","DIMETHYL CYCLOHEXANONE-2,6-DICARBOXYLATE",19.3-19.7 g,methanol,"50-55°C, reflux, 0°C","N/A, 2 hours, overnight",44-45%
volume49article17_1_1,"diethyl ether, ethanol, o-xylene, sodium","450 g, 460 g (10 moles), 318.5 g (3.0 moles), 207 g (9.0 g atoms)","1,2-Dimethyl-1,4-cyclohexadiene",250-300 g,liquid ammonia,N/A,overnight,77-92%
volume49article17_2_1,"1,2-dimethyl-1,4-cyclohexadine, m-chloroperbenzoic acid","41 g (0.38 mole), 80 g (0.46 mole of 85% assay)","1,2-Dimethyl-1,2-epoxycyclohex-4-ene",32.3-36.8 g,chloroform,reflux,"3 hours, overnight",68-78%
volume49article17_3_1,"4,5-Dibromo-1,2-dimethyl-1,2-epoxycyclohexane, bromine","32 g (0.26 mole), 34 g (0.21 mole)","2,7-Dimethyloxepin",47-51 g,chloroform-methylene chloride mixture,-65°C,30 minutes,80-86%
volume49article17_4_1,"purified dibromoepoxide, potassium t-butoxide","42.1 g (0.15 mole), 33.2 g (0.30 mole)","2,7-Dimethyloxepin",9.7-12.2 g,ether,0°C,30 minutes,52-67%
volume49article18_1_1,"p-dibromobenzene, magnesium turnings, chlorodiphenylphosphine","88.5 g (0.38 mole), 9.0 g (0.38 g atom), 71.8 g (0.33 mole)",DIPHENYL-p-BROMOPHENYLPHOSPHINE,81-83 g,dry ether,"Room temperature, -7°C","1.5 hours, 1.25 hours",73-77%
volume49article19_1_1,"aniline, thionyl chloride","46.5 g (0.5 mole), 82.5 g (0.69 mole)",N-Sulfinylaniline,63-65 g,benzene,reflux,2-5 hours,91-94%
volume49article19_2_1,benzaldoxime,50 g (0.41 mole),benzohydroxamoyl chloride,33-38 g,chloroform,-2°C,1 hour,51-59%
volume49article19_3_1,"benzohydroxamoyl chloride, triethylamine, N-sulfinylaniline","15.6 g (0.1 mole), 10.1 g (0.1 mole), 13.9 g (0.1 mole)",Diphenylcarbodiimide,10.5-10.8 g,benzene,"5°C, reflux",3-5 hours,54-56%
volume49article20_1_1,p-aminobenzoic acid,27.4 g (0.20 mole),cis- and trans-4-aminocyclohexanecarboxylic acid,19.4-20.3 g,water,50 p.s.i,N/A,68-71%
volume49article20_2_1,cis- and trans-4-aminocyclohexanecarboxylic acid,4.53 g,3-isoquinuclidone,3.20-3.33 g,Dowtherm A,Reflux,20 minutes,81-84%
volume49article21_1_1,"sodium hydride, petroleum ether, dimethyl sulfoxide, trimethyloxosulfonium iodide","8.8 g (0.22 mole), 150 ml, 250 ml, 50.6 g (0.23 mole)",Dimethyloxosulfonium methylide,N/A,"petroleum ether, dimethyl sulfoxide",N/A,30 minutes,N/A
volume49article21_2_1,cyclohexanone,19.6 g (0.2 mole),Methylenecyclohexane oxide,15-17 g,ether,55-60°C,30 minutes,67-76%
volume49article22_1_1,"powdered lithium hydride, cyclohexanecarboxylic acid, methyllithium","1.39 g (0.174 mole), 19.25 g (0.150 mole), 0.170 mole",cyclohexyl methyl ketone,17.1-17.7 g,"1,2-dimethoxyethane","reflux, room temperature","2.5 hours, 2 hours",91-94%
volume49article23_1_1,"cyclohexene, dichloromethyl 2-chloroethyl ether, methyllithium","500 ml, 49.0 g (0.300 mole), 430 ml (0.47 mole)",exo/endo-7-(2-chloroethoxy)bicyclo[4.1.0]heptane,21-29 g,ether,Room temperature,4 hours,40-56%
volume49article23_2_1,"exo/endo-7-(2-chloroethoxy)bicyclo[4.1.0]heptane, n-butyllithium","20.0 g (0.115 mole), 280 ml (0.45 mole)",exo/endo-7-Norcaranol,11.6-12.3 g,dry ether,Room temperature,30-45 minutes,90-95%
volume49article24_1_1,"magnesium, tetrahydrofuran, 6-bromo-2-methoxynaphthalene, trimethyl borate, acetic acid, hydrogen peroxide","27 g (1.1 mole), 200 ml, 95 g, 125 ml (1.1 mole), 112 ml (1.1 mole)",6-methoxy-2-naphthol,127-142 g,tetrahydrofuran,"reflux, -10°C to -5°C","20 minutes, 30 minutes, 15 minutes",73-81%
