volume43article24_1_1,"Formamide, water, ammonium chloride, 4,4-dimethoxy-2-butanone","750 ml, 25 ml, 50 g, 400 g (3.02 moles)",4-methylpyrimidine,153-180 g,chloroform,180-190°C,"6 hours, 1 hour",54-63%
volume43article25_1_1,"2,3-dimethylnaphthalene, sodium dichromate dihydrate","200 g (1.28 moles), 940 g (3.14 moles)","2,3-naphthalenedicarboxylic acid",240-256 g,water,250°C,18 hours,87-93%
volume43article26_1_1,"White fuming nitric acid, acetic anhydride, acetone cyanohydrin","106 ml (158 g, 2.3 moles), 380 ml (408 g, 4.00 moles), 92 ml (85 g, 1.00 mole)",Acetone cyanohydrin nitrate,85-90 g,methylene chloride,5-10°C,45 minutes,65-69%
volume43article26_2_1,"Morpholine, acetone cyanohydrin nitrate","34.8 g (0.40 mole), 26 g (0.20 mole)",N-Nitromorpholine,15-17 g,"methylene chloride, hydrochloric acid, water, ethanol","60°C, 80°C",1 hour,57-64%
volume43article27_1_1,"4-amino-2,2,4-trimethylpentane, potassium permanganate","25.8 g (0.20 mole), 190 g (1.20 moles)","4-nitro-2,2,4-trimethylpentane",22-26 g,"C.P. acetone, water",25-30°C,48 hours,69-82%
volume43article28_1_1,"triethyl phosphite, hexachlorocyclopentadiene","183 g (1.10 moles), 273 g (1.00 mole)","1,2,3,4,5-pentachloro-5-ethylcyclopentadiene",245-257 g,petroleum ether,0-10°C,4-6 hours,92-96%
volume43article29_1_1,"pyridine, thionyl chloride","395 g (5.00 moles), 1190 g (10.0 moles)",N-(4-Pyridyl)pyridinium chloride hydrochloride,230-257 g,N/A,Room temperature,3 days,40-45%
volume43article29_2_1,"N-(4-pyridyl)pyridinium chloride hydrochloride, sodium sulfite heptahydrate","115 g (0.50 mole), 378 g (1.50 moles)",4-Pyridinesulfonic acid,36-40 g,water,Reflux,24 hours,45-50%
volume43article30_1_1,"phosphorus pentachloride, tropilidene, ethanol, fluoboric acid","100 g (0.48 mole), 24.2 g (0.24 mole), 400 ml, 50 ml (0.39 mole)",tropylium fluoborate,34-38 g,"carbon tetrachloride, ethanol","room temperature, ice bath",3 hours,80-89%
volume44article1_1_1,"96% sulfuric acid, carbon tetrachloride, adamantane, t-butyl alcohol, formic acid","470 g (255 ml, 4.8 moles), 100 ml, 13.6 g (0.100 mole), 29.6 g (38 ml, 0.40 mole), 55 g (1.2 moles)",1-adamantanecarboxylic acid,10-11 g,carbon tetrachloride,17-25°C,"1-2 hours, 30 minutes",56-61%
volume44article2_1_1,"o-bromoanisole, p-dimethylaminobenzaldehyde, magnesium, ammonium chloride","100 g (0.53 mole), 60 g (0.40 mole), 14.5 g (0.60 g atom), 75 g",4-dimethylamino-2'-methoxybenzhydrol,59-60 g,"ether, benzene",room temperature,10 hours,57-58%
volume44article2_2_1,"sulfanilic acid, anhydrous sodium carbonate, sodium nitrite, hydrochloric acid, sodium acetate, 4-dimethylamino-2'-methoxybenzhydrol","60 g (0.35 mole), 18 g (0.17 mole), 24.2 g (0.35 mole), 64 ml, 50 g, 52 g (0.20 mole)",o-Anisaldehyde,19-20.5 g,"water, acetone, ether","0-5°C, 50-60°C","30 minutes, 30 minutes",69-75%
volume44article3_1_1,"2,3-dibromopropene, ethylamine, sodium hydroxide","200 g (1.00 mole), 300 ml (240 g, 3.7 moles), 100 g",N-(2-bromoallyl)ethylamine,115-128 g,ether,N/A,3 hours,70-78%
volume44article4_1_1,"zinc dust, acetic acid, 2,3,5-tribromothiophene","783 g (12.0 moles), 700 ml, 1283 g (4.00 moles)",3-bromothiophene,580-585 g,water,reflux,3 hours,89-90%
volume44article5_1_1,"norbornadiene, cuprous bromide, t-butyl perbenzoate","300 g (3.26 moles), 0.650 g (4.53 mmoles), 245 g (1.26 mole)",7-t-butyoxynorbornadiene,42-51 g,benzene,reflux,30 minutes,20-25%
volume44article6_1_1,"t-butyl carbazate, glacial acetic acid, sodium nitrite","82 g (0.62 mole), 72 g, 47.0 g (0.68 mole)",t-butyl azidoformate,57-72.8 g,water,10-15°C,30 minutes,64-82%
volume44article7_1_1,"t-butyl azidoformate, t-butyl carbazate","28.6 g (0.2 mole), 26.4 g (0.2 mole)",t-Butyl hydrazodiformate,35.5-37 g,pyridine,room temperature,1 week,77-80%
volume44article7_2_1,"crude t-butyl hydrazodiformate, pyridine, N-bromosuccinimide","23.2 g (0.1 mole), 7.9 g (0.1 mole), 18.2 g (0.102 mole)",t-Butyl azodiformate,19.8-20.7 g,methylene chloride,room temperature,5 minutes,88-90%
volume44article8_1_1,"pyridine, t-butyl alcohol, methyl chlorothiolformate","430 ml (422 g, 5.33 moles), 508 ml (395 g, 5.33 moles), 536 g (4.85 moles)",t-Butyl S-methylthiolcarbonate,375-447 g,chloroform,reflux,24 hours,52-62%
volume44article8_2_1,"t-butyl S-methylthiolcarbonate, hydrazine solution","500 g (3.47 moles), 186 g (3.71 moles)",t-Butyl carbazate,322-385 g,methylene dichloride,105-110°C,24 hours,72-86%
volume44article8_3_1,"t-butyl alcohol, quinoline, phenyl chloroformate","248 g (3.35 moles), 430 g (3.33 moles), 520 g (3.32 moles)",t-Butyl phenyl carbonate,460-495 g,methylene dichloride,28-31°C,overnight,71-76%
volume44article8_4_1,"phenyl t-butyl carbonate, hydrazine solution","388.4 g (2.0 moles), 120.2 g (2.4 moles)",t-Butyl carbazate,235-256 g,ether,"75-80°C, 104-110°C",overnight,89-97%
volume44article9_1_1,"concentrated sulfuric acid, mercuric sulfate, cyclohexene","80.0 g (43.5 ml, 0.82 mole), 740.0 g (2.49 moles), 82.0 g (101 ml, 1.0 mole)",Cyclopentanecarboxaldehyde,45-52 g,water,55-65°C,1 hour,46-53%
volume44article10_1_1,"1-bromo-3-phenylpropane, N-bromosuccinimide, benzoyl peroxide","199 g (1.0 mole), 187 g (1.05 moles), 3 g","1,3-dibromo-1-phenylpropane",Nearly 100% of theoretical yield,carbon tetrachloride,Reflux,N/A,N/A
volume44article10_2_1,"1,3-dibromo-1-phenylpropane, dimethylformamide, zinc-copper couple",N/A,Cyclopropylbenzene,88-100 g,dimethylformamide,7-9°C,30 minutes,75-85%
volume44article11_1_1,"2-aminopyridine, bromine, acetic acid, sodium hydroxide","282 g (3.0 moles), 480 g (154 ml, 3.0 moles), 500 ml, N/A",2-Amino-5-bromopyridine,320-347 g,acetic acid,"Below 20°C, 50°C",1 hour,62-67%
volume44article11_2_1,"2-amino-5-bromopyridine, sulfuric acid, nitric acid","86.5 g (0.5 mole), 500 ml, 26 ml (39 g, 0.57 mole)",2-amino-5-bromo-3-nitropyridine,85-93 g,N/A,"0°C, room temperature, 50-60°C",3 hours,78-85%
volume44article11_3_1,"2-amino-5-bromo-3-nitropyridine, reduced iron, ethanol, water, hydrochloric acid","10.9 g (0.05 mole), 30 g, 40 ml, 10 ml, 0.5 ml","2,3-Diamino-5-bromopyridine",6.5-7.1 g,ethanol,Steam bath,1 hour,69-76%
volume44article11_4_1,"2,3-diamino-5-bromopyridine, sodium hydroxide, hydrogen, palladized strontium carbonate","56.4 g (0.3 mole), 300 ml, N/A, 1.0 g","2,3-diaminopyridine",25.5-28.0 g,4% sodium hydroxide solution,N/A,N/A,78-86%
volume44article12_1_1,"Phenylsulfur trifluoride, benzaldehyde","16.6 g (0.10 mole), 10.6 g (0.10 mole)","α,α-difluorotoluene, benzenesulfinyl fluoride","9.2-10.2 g, 11.7-13.2 g",N/A,"50-70°C, 100°C",30 minutes,"71-80%, 81-91%"
volume44article13_1_1,"2,4,6-trimethylphenol, sodium, chloramine","545 g (4.00 moles), 27.6 g (1.20 g atoms), 0.25 mole","1,3-dihydro-3,5,7-trimethyl-2H-azepin-2-one",68-80 g,ether,150°C,N/A,45-53%
volume44article14_1_1,"glacial acetic acid, sodium cyanide, concentrated sulfuric acid, α,α-dimethyl-β-phenethyl alcohol","500 ml, 110 g (2 moles), 500 g (272 ml, 4.9 moles), 300 g (2 moles)","N-Formyl-α,α-dimethyl-β-phenethylamine",230-248 g,glacial acetic acid,20°C,90 minutes,65-70%
volume44article14_2_1,"N-formyl-α,α-dimethyl-β-phenethylamine, sodium hydroxide","246 g (1.39 moles), 2.1 L","α,α-Dimethyl-β-phenethylamine",155-165 g,benzene,reflux,2.5 hours,75-80%
volume44article15_1_1,"2,4-dinitrochlorobenzene, benzyl mercaptan, pyridine","202 g (1.00 mole), 124 g (1.00 mole), 87 g (85 ml, 1.10 moles)","2,4-Dinitrophenyl benzyl sulfide",235-250 g,methanol,reflux,16 hours or more,81-86%
volume44article15_2_1,"2,4-dinitrophenyl benzyl sulfide, sulfuryl chloride","232 g (0.80 mole), 119 g (0.88 mole)","2,4-Dinitrobenzenesulfenyl chloride",150-170 g,ethylene chloride,Room temperature,1-2 minutes,80-90%
volume44article16_1_1,"Magnesium turnings, bromobenzene, benzonitrile","13.4 g (0.55 g atom), 4 ml, 51.5 g (0.50 mole)",Diphenyl ketimine,55-73 g,diethyl ether,Reflux,4-6 hours,61-81%
volume44article17_1_1,"sodium amide, N-(2-bromoallyl)ethylamine","32.8 g (0.84 mole), 118 g (0.72 mole)",N-ethylallenimine,30-34 g,"liquid ammonia, ethanol-free ether",N/A,3 hours,48-55%
volume44article18_1_1,"lithium amide, ethyl acetate, benzophenone","0.25 mole, 17.6 g (0.2 mole), 36.4 g (0.2 mole)","Ethyl β-hydroxy-β,β-diphenylpropionate",40.5-45.5 g,"liquid ammonia, ether",N/A,30 minutes,75-84%
volume44article19_1_1,"Potassium cyanide, ethyl cyanoacetate, 2-butanone, glacial acetic acid","71.6 g (1.1 moles), 113 g (1 mole), 79 g (1.1 moles), 66 ml",α-ethyl-α-methylsuccinic acid,"65-75 g, 8-9 g","ethanol, hydrochloric acid","Room temperature, reflux","7 days, 4 hours, 4 hours","41-47%, additional 8-9 g"
volume44article20_1_1,"2a-thiohomophthalimide, potassium hydroxide","10 g (0.056 mole), 30 g",Homophthalic acid,6.1-7.5 g,water,Reflux,48 hours,60-73%
volume44article21_1_1,"potassium hydroxide, indole, glycolic acid","270 g (4.1 moles), 351 g (3.00 moles), 360 g (3.3 moles)",Indole-3-acetic acid,455-490 g,water,250°C,18 hours,87-93%
volume44article22_1_1,"Sodium, anhydrous ethanol, diethyl oxalate, diethyl succinate","23 g (1.0 g atom), 356 ml (276 g, 6.00 moles), 146 g (1.00 mole), 174 g (1.00 mole)",Triethyl oxalylsuccinate,235-250 g,"toluene, anhydrous ether, water, 12N hydrochloric acid",105°C,at least 12 hours,86-91%
volume44article22_2_1,"triethyl oxalylsuccinate, hydrochloric acid, water","225 g (0.82 mole), 330 ml, 660 ml",α-Ketoglutaric acid,88-99 g,nitroethane,reflux,4 hours,73-83%
volume44article23_1_1,"anhydrous aluminum chloride, oxalyl chloride, mesitylene","146 g (1.10 moles), 139 g (1.10 moles), 120 g (1.00 mole)",Mesitoic acid,106-124 g,carbon disulfide,"10-15°C, reflux","15 minutes, 1 hour",65-76%
volume44article24_1_1,"n-butylamine, benzaldehyde, dimethyl sulfate","36.6 g (0.50 mole), 63.7 g (61 ml, 0.60 mole), 75.6 g (57 ml, 0.60 mole)",N-Methylbutylamine,19.6-23.0 g,benzene,"reflux, 86-90°C","30 minutes, N/A",45-53%
volume44article25_1_1,"Benzaldehyde, anhydrous ethylamine","466 g (4.40 moles), 200 g (4.44 moles)",N-Benzylideneethylamine,470-523 g,benzene,Room temperature,1 hour,80-89%
volume44article25_2_1,"N-Benzylideneethylamine, methyl iodide, sodium hydroxide","133 g (1.00 mole), 156 g (1.10 moles), 100 g (2.5 moles)",N-Methylethylamine,49-55 g,"water, ether",100°C,"24 hours, 1.5 hours, 30 minutes",83-93%
volume44article26_1_1,"Magnesium turnings, hexachlorobenzene, ethylene bromide","39 g (1.6 g atoms), 142.4 g (0.5 mole), 188 g (1.0 mole)",Pentachlorobenzoic acid,95 g,"dry ether, dry benzene",reflux,48 hours,65%
volume44article27_1_1,"benzoic acid, hydrogen peroxide, methanesulfonic acid","36.6 g (0.30 mole), 22 g (0.45 mole), 86.5 g (0.90 mole)",peroxybenzoic acid,85-90%,methanesulfonic acid,25-30°C,2 hours,N/A
volume44article28_1_1,"silver difluoride, 1,1,2-trichloro-1,2,2-trifluoroethane, phenyl disulfide","453 g (3.1 moles), 500 ml, 100 g (0.458 mole)",phenylsulfur trifluoride,84-92 g,"1,1,2-trichloro-1,2,2-trifluoroethane",reflux,N/A,55-60%
volume44article29_1_1,"ethyl isonicotinate, ethyl bromoacetate","151 g (1.00 mole), 167 g (1.00 mole)",1-Carbethoxymethyl-4-carbethoxypyridinium bromide,N/A,ethanol,"Room temperature, reflux","Overnight, 4 hours",N/A
volume44article29_2_1,"Pyridinium bromide, 10% palladium on charcoal",N/A,1-Carbethoxymethyl-4-carbethoxypiperidine,156-190 g,N/A,90°C,30-60 minutes,64-78%
volume44article29_3_1,"potassium, absolute toluene, absolute ethanol, 1-carbethoxymethyl-4-carbethoxypiperidine, hydrochloric acid","80 g (2.05 g atom), 330 ml, 125 ml (98.6 g, 2.14 moles), 200 g (0.822 mole), N/A",3-Quinuclidone hydrochloride,102-109 g,toluene,"reflux, 130°C",3 hours,77-82%
volume44article30_1_1,"phenylacetyl chloride, lead thiocyanate","25 g (0.16 mole), 53 g (0.16 mole)",phenylacetyl isothiocyanate,17.5-22.7 g,benzene,reflux,5 hours,61-79%
volume44article30_2_1,"phenylacetyl isothiocyanate, carbon disulfide, aluminum chloride","17.7 g (0.10 mole), 150 ml, 29.3 g (0.22 mole)",2a-Thiohomophthalimide,9.2-13.3 g,carbon disulfide,reflux,2 hours,52-75%
volume44article31_1_1,"sodium, cyclopentadiene","23 g (1.0 mole), 73.0 g (1.1 moles)",Cyclopentadienylsodium,N/A,tetrahydrofuran,Below 35-40°C,N/A,N/A
volume44article31_2_1,"2,4,6-trimethylpyrylium perchlorate",142 g (0.64 mole),"4,6,8-Trimethylazulene",47-53 g,"tetrahydrofuran, methanol, water, petroleum ether, ethanol",42-48°C,"1 hour, 20 minutes",43-49%
volume44article32_1_1,"t-butyl alcohol, acetic anhydride, perchloric acid","148 g (2.0 moles), 1020 g (945 ml, 10.0 moles), 250 g (150 ml, 1.75 moles)","2,4,6-trimethylpyrylium perchlorate",195-210 g,"acetic acid, ether","-10°C, 40-50°C, 100-105°C, 90°C, 75°C, 15°C",N/A,50-54%
volume44article32_2_1,"acetic anhydride, perchloric acid, mesityl oxide","550 ml (595 g, 5.83 moles), 180 ml (300 g, 2.09 moles), 240 ml (204 g, 2.09 moles)","2,4,6-trimethylpyrylium perchlorate",250-260 g,"acetic acid, absolute ethanol, absolute ether",50-70°C,"15 minutes, 2 hours",54-56%
volume45article1_1_1,"glycine, pyridine, acetic anhydride","75.0 g (1.0 mole), 475 g (485 ml, 6 moles), 1190 g (1.1 l, 11.67 moles)",Acetamidoacetone,80-90 g,N/A,Reflux,6 hours,70-78%
volume45article1_2_1,Acetamidoacetone,52 g (0.45 mole),Aminoacetone hydrochloride,40-45 g,"concentrated hydrochloric acid, water",reflux,6 hours,N/A
volume45article1_3_1,"Product from step B, semicarbazide hydrochloride",N/A,Aminoacetone semicarbazone hydrochloride,54-58 g,"absolute alcohol, water",Room temperature,2 hours,72-78%
volume45article2_1_1,"Hydrogen fluoride, benzoyl chloride","50 g (2.5 moles), 281 g (2.0 moles)",Benzoyl fluoride,187-200 g,N/A,30-40°C,1 hour,75-80%
volume45article3_1_1,"sodium, toluene, 2-carbomethoxycyclopentanone, benzyl chloride","13.4 g (0.58 mole), 200 ml, 85 g (0.6 mole), 106 g (0.84 mole)",2-Benzyl-2-carbomethoxycyclopentanone,108-116 g,"toluene, benzene",reflux,"2.5 hours, 14 hours",81-86%
volume45article3_2_1,"lithium iodide dihydrate, 2,4,6-collidine, 2-benzyl-2-carbomethoxycyclopentanone","30 g (0.177 mole), 140 ml, 30 g (0.129 mole)",2-Benzylcyclopentanone,16-17 g,N/A,Reflux,19 hours,72-76%
volume45article4_1_1,"concentrated sulfuric acid, acetic anhydride, D,L-camphor","588 g (366 ml, 6 moles), 1216 g (1170 ml, 12 moles), 912 g (6 moles)","D,L-10-camphorsulfonic acid",530-580 g,N/A,N/A,36 hours,38-42%
volume45article5_1_1,"D,L-10-camphorsulfonic acid, phosphorus pentachloride","464 g (2 moles), 416 g (2 moles)","D,L-10-camphorsulfonyl chloride",500 g,N/A,Ice water,3-4 hours,Quantitative
volume45article6_1_1,"cyclohexylamine, t-butyl hypochlorite","9.92 g (0.10 mole), 24 g (0.22 mole)","N,N-Dichlorocyclohexylamine",N/A,benzene,0-5°C,1 hour,N/A
volume45article6_2_1,"N,N-dichlorocyclohexylamine, potassium acetate","100 ml, 15 g (0.15 mole)",N-Chlorocyclohexylideneimine,6.3-9.1 g,ethanol,reflux,3 hours,48-69%
volume45article7_1_1,"p-chloroaniline, concentrated aqueous ammonia, carbon disulfide, chloroacetic acid, zinc chloride","38.3 g (0.30 mole), 41 ml (0.6 mole), 21 ml (0.35 mole), 28.4 g (0.30 mole), 20.5 g (0.15 mole)",p-chlorophenyl isothiocyanate,33-35 g,"water, ethanol, petroleum ether",30-35°C,"1 hour (stirring), 45 minutes (dropwise addition)",65-68%
volume45article8_1_1,"γ-butyrolactone, red phosphorus, bromine","100 g (1.16 moles), 13.4 g (0.43 g atom), 195 g (66.5 ml, 1.22 moles)",α-Bromo-γ-butyrolactone,105 g,N/A,70-80°C,3 hours,55%
volume45article8_2_1,"α-bromo-γ-butyrolactone, triethylamine","83 g (0.5 mole), 61 g (84.5 ml, 0.6 mole)","Δα,β-Butenolide",25 g,diethyl ether,reflux,24 hours,60% (33% overall)
volume45article9_1_1,"Sodium, ethanol, diethyl succinate","92 g (4 g atoms), 900 ml, 348.4 g (2 moles)","2,5-dicarbethoxy-1,4-cyclohexanedione","160-168 g, 5-7 g","Ethanol, ethyl acetate",Reflux,24 hours,64-68%
volume45article9_2_1,"2,5-dicarbethoxy-1,4-cyclohexanedione",170 g (0.66 mole),"1,4-Cyclohexanedione",60-66 g,water,185-195°C,10-15 minutes,81-89%
volume45article10_1_1,cycloöctanol,64 g (0.5 mole),cycloöctanone,58-60 g,acetone,20-35°C,N/A,92-96%
volume45article11_1_1,"t-butyl alcohol, potassium","500 ml, 20 g (0.5 g atom)",Potassium t-butoxide,N/A,"t-butyl alcohol, heptane",N/A,N/A,N/A
volume45article11_2_1,"triphenylphosphine, potassium t-butoxide, chloroform","131 g (0.5 mole), N/A, 59.5 g (0.5 mole)",Dichloromethylenetriphenylphosphorane,N/A,heptane,Below 5°C,1 hour,N/A
volume45article11_3_1,"phosphorane, p-dimethylaminobenzaldehyde","N/A, 74.5 g (0.5 mole)","β,β-Dichloro-p-dimethylaminostyrene",42-60 g,heptane,Below 10°C,"2 hours in ice bath, 5 hours at room temperature, overnight",39-56%
volume45article12_1_1,"Sodium hydride, diethyl ethylmalonate, benzoyl peroxide","7.2 g (0.15 mole), 28.2 g (0.15 mole), 24.2 g (0.1 mole)",Diethyl [O-benzoyl]ethyltartronate,23.3-24.1 g,benzene,N/A,"2 hours, 1 hour, 30 minutes",75-78%
volume45article13_1_1,"Cupric acetate monohydrate, phenylacetylene","5.5 g (0.028 mole), 2.0 g (0.0196 mole)",Diphenyldiacetylene,1.4-1.6 g,pyridine-methanol mixture,Reflux,1 hour,70-80%
volume45article14_1_1,γ-butyrolactone,200 g (2.33 moles),Ethyl γ-bromobutyrate,350-380 g,absolute ethanol,0°C,24 hours,77-84%
volume45article15_1_1,"sodium hydride, triethyl phosphonoacetate, cyclohexanone","16 g (0.33 mole), 74.7 g (0.33 mole), 32.7 g (0.33 mole)",Ethyl cyclohexylideneacetate,37-43 g,benzene,"30-35°C, 20-30°C",1 hour,67-77%
volume45article16_1_1,"t-butyl chloroacetate, sodium azide","30 g (0.2 mole), 24 g (0.37 mole)",t-Butyl azidoacetate,29 g,"acetone, water",reflux,18 hours,92%
volume45article16_2_1,"t-butyl azidoacetate, methanol, 5% palladium-on-charcoal catalyst, hydrogen, phosphorous acid, sodium hydroxide","28.9 g (0.18 mole), 150 ml, 0.7 g, N/A, 15 g (0.18 mole), 50 ml",Glycine t-butyl ester,14 g,"methanol, ether",N/A,"10 hours, 12 hours",72%
volume45article17_1_1,diketene,56 g (0.67 mole),ketene,26-31 g,N/A,550°C,N/A,46-55%
volume45article18_1_1,"anhydrous sodium carbonate, potassium permanganate, DL-10-camphorsulfonyl chloride","100 g (0.95 mole), 100 g (0.63 mole), 34 g",DL-ketopinic acid,28-32 g,water,Steam bath,1 hour,38-43%
volume45article19_1_1,"lithium aluminum tri-t-butoxyhydride, pregnenolone acetate","101.6 g (0.4 mole), 71.7 g (0.2 mole)",3β-Acetoxy-20β-hydroxy-5-pregnene,54-57 g,tetrahydrofuran,0-5°C,6 hours,75-79%
volume45article19_2_1,"3β-acetoxy-20β-hydroxy-5-pregnene, lead tetraacetate, iodine","30 g (0.083 mole), 180 g (ca. 0.37 mole), 24 g (0.095 mole)","3β-Acetoxy-18-iodo- and 18-hydroxy-18,20β-oxido-5-pregnene",60 g (oily residue),cyclohexane,Boiling point,60-90 minutes,N/A
volume45article19_3_1,Residue from Part B,N/A,"18,20-lactone of 3β-acetoxy-20β-hydroxy-5-pregnene-18-oic acid",14-16 g,acetone,0-5°C,30 minutes,45-52%
volume45article20_1_1,"Pine oleoresin, 2-amino-2-methyl-1-propanol","1 kg, 200 g (2.2 moles)",Levopimaric acid,26-31 g,"acetone, methanol, ethanol",N/A,N/A,10-12%
volume45article21_1_1,"cyclohexylamine, silicon tetraisocyanate","39.7 g (0.4 mole), 19.6 g (0.1 mole)",cyclohexylurea,37 g,benzene,reflux,30 minutes,65%
volume45article21_2_1,"Silicon tetraisothiocyanate, 2,6-dimethylaniline","26.0 g (0.10 mole), 48.5 g (0.4 mole)","2,6-dimethylphenylthiourea",50 g,anhydrous benzene,reflux,30 minutes,72%
volume45article22_1_1,"bicyclo[2.2.1]hepta-2,5-diene, glacial acetic acid, boron trifluoride etherate","156 g (1.70 moles), 105 g (100 ml, 1.75 moles), 3 ml",Nortricyclyl acetate,132-167 g,"ether, chloroform","Steam bath, -10°C","6 hours, N/A",52-66%
volume45article22_2_1,"nortricyclyl acetate, sodium",N/A,Nortricyclanol,84-107 g,methanol,Steam bath,N/A,45-57%
volume45article23_1_1,"nortricyclanol, chromium trioxide, sulfuric acid","110 g (1.00 mole), 70 g (0.70 mole), 112 g (61 ml, 1.10 moles)",nortricyclanone,85-95 g,acetone,20°C,3 hours,79-88%
volume45article24_1_1,"1-morpholino-1-cyclohexene, methyl vinyl ketone","102 g (0.61 mole), 45 g (0.64 mole)","Δ1(9)-Octalone-2, Δ9(10)-octalone-2",54-59 g,dioxane,reflux,"4 hours, 10-12 hours",59-65%
volume45article24_2_1,Octalone mixture,35 g (0.23 mole),Δ1(9)-Octalone-2,20-25 g,60-110° petroleum ether,-80°C,1 hour,34-46%
volume45article25_1_1,"cyclohexanone, 15N aqueous ammonia, hydroxylamine-O-sulfonic acid","147 g (1.5 moles), 400 ml (6.0 moles), 124 g (1.0 mole)","3,3-Pentamethylenediaziridine",68-78 g,"ether, toluene, petroleum ether",0°C,overnight,61-70%
volume45article25_2_1,"3,3-pentamethylenediaziridine, silver nitrate, sodium hydroxide","10.0 g (0.089 mole), 34.0 g (0.2 mole), 100 ml","3,3-pentamethylenediazirine",6.4-7.4 g,ether,Room temperature,30-60 minutes,65-75%
volume45article26_1_1,"sodium hydroxide, bromine, phenylacetylene","300 g (7.5 moles), 160 g (2 moles), 84 g (0.82 mole)",phenylbromoethyne,109-124 g,water,room temperature,60 hours,73-83%
volume45article31_1_1,"Methylmagnesium bromide, thiophosphoryl chloride","800 ml (2.4 moles), 135 g (83 ml, 0.80 mole)",Tetramethylbiphosphine disulfide,50-55 g,ether,0-5°C,3 hours,67-74%
