type,field,entry,row_index,csv_set,ann_set,corrected_label,Unnamed: 7
FN,STARTING_MATERIAL,potassium cyanate,314,compound from Ex. 410A,"compound from Ex. 410A, potassium cyanate",TP,
FP,REAGENT_CATALYST,potassium cyanate,314,"perchloric acid, potassium cyanate",perchloric acid,FP,
FN,SOLVENT,water,314,methanol,"methanol, water",TP,
FP,SOLVENT,ethyl acetate,315,"aqueous, ethyl acetate, water","aqueous, water",TP,
FP,STARTING_MATERIAL,"(2S,5R)-N-(2-butyl-2-azaspiro[3.3]heptan-6-yl)-6-hydroxyl-7-oxo-1,6-diazabicyclo[3.2.1]octane-2-carboxamide",316,"(2S,5R)-N-(2-butyl-2-azaspiro[3.3]heptan-6-yl)-6-hydroxyl-7-oxo-1,6-diazabicyclo[3.2.1]octane-2-carboxamide","(2S,5R)-N-(2-butyl-2-azaspiro[3.3]heptan-6-yl)-6-hydroxyl-7-oxo-1,6-diazabicyclo[3.2.1]octa ne-2-carboxamide",TP,
FN,STARTING_MATERIAL,"(2S,5R)-N-(2-butyl-2-azaspiro[3.3]heptan-6-yl)-6-hydroxyl-7-oxo-1,6-diazabicyclo[3.2.1]octa ne-2-carboxamide",316,"(2S,5R)-N-(2-butyl-2-azaspiro[3.3]heptan-6-yl)-6-hydroxyl-7-oxo-1,6-diazabicyclo[3.2.1]octane-2-carboxamide","(2S,5R)-N-(2-butyl-2-azaspiro[3.3]heptan-6-yl)-6-hydroxyl-7-oxo-1,6-diazabicyclo[3.2.1]octa ne-2-carboxamide",TP,
FN,REAGENT_CATALYST,pyridine,316,sulfur trioxide-pyridine complex,"pyridine, sulfur trioxide-pyridine complex, trifluoroacetic acid",FN,
FN,REAGENT_CATALYST,trifluoroacetic acid,316,sulfur trioxide-pyridine complex,"pyridine, sulfur trioxide-pyridine complex, trifluoroacetic acid",TP,
FP,SOLVENT,pyridine,316,pyridine,acetonitrile,TP,
FN,SOLVENT,acetonitrile,316,pyridine,acetonitrile,TP,
FN,REACTION_PRODUCT,27,317,"4,4'-(((2,2'-Dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(3-hydroxybenzaldehyde)","27, 4,4'-(((2,2'-Dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(3-hydroxybenzaldehyde, 4,4'-(((2,2'-dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(3-hydroxybenzaldehyde)",TP,
FN,REACTION_PRODUCT,"4,4'-(((2,2'-Dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(3-hydroxybenzaldehyde",317,"4,4'-(((2,2'-Dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(3-hydroxybenzaldehyde)","27, 4,4'-(((2,2'-Dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(3-hydroxybenzaldehyde, 4,4'-(((2,2'-dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(3-hydroxybenzaldehyde)",TP,
FN,STARTING_MATERIAL,21,317,"3,3'-bis(bromomethyl)-2,2'-dimethylbiphenyl, 5-formyl-2-hydroxyphenyl acetate","21, 3,3'-bis(bromomethyl)-2,2'-dimethylbiphenyl, 5-formyl-2-hydroxyphenyl acetate",TP,
FN,TEMPERATURE,room temperature,317,90° C,"90° C, room temperature",TP,
FN,REAGENT_CATALYST,hydrogen peroxide,318,"K2CO3, Pd(PPh3)4","K2CO3, Pd(PPh3)4, hydrogen peroxide",FN,
FN,SOLVENT,dichloromethane,318,"H2O, THF","H2O, THF, dichloromethane",FN,
FP,SOLVENT,tetrahydrofuran,319,"anhydrous ethanol, tetrahydrofuran",ethanol,TP,
FN,REAGENT_CATALYST,trimethyl orthoformate,321,hydrogen chloride,"hydrogen chloride, trimethyl orthoformate",FN,
FP,SOLVENT,trimethyl orthoformate,321,"dioxane, methanol, trimethyl orthoformate","dioxane, methanol",TP,
FP,TIME,about 24 h,321,about 24 h,,TP,
FP,REACTION_PRODUCT,"(2S,3S,4S,5S)-3-tert-butyl-4-{[(5-tert-butyl-2-methoxyphenyl)methyl]amino}-1-(cyclohexanecarbonyl)-5-(2-methoxypyridin-3-yl)pyrrolidine-2-carboxylic acid",322,"(2S,3S,4S,5S)-3-tert-butyl-4-{[(5-tert-butyl-2-methoxyphenyl)methyl]amino}-1-(cyclohexanecarbonyl)-5-(2-methoxypyridin-3-yl)pyrrolidine-2-carboxylic acid","(2S,3R,4S,5S)-ethyl 3-(tert-butyl)-1-(cyclohexanecarbonyl)-5-(2-methoxypyridin-3-yl)-4-nitropyrrolidine-2-carboxylate, title compound",FP,
FN,REACTION_PRODUCT,"(2S,3R,4S,5S)-ethyl 3-(tert-butyl)-1-(cyclohexanecarbonyl)-5-(2-methoxypyridin-3-yl)-4-nitropyrrolidine-2-carboxylate",322,"(2S,3S,4S,5S)-3-tert-butyl-4-{[(5-tert-butyl-2-methoxyphenyl)methyl]amino}-1-(cyclohexanecarbonyl)-5-(2-methoxypyridin-3-yl)pyrrolidine-2-carboxylic acid","(2S,3R,4S,5S)-ethyl 3-(tert-butyl)-1-(cyclohexanecarbonyl)-5-(2-methoxypyridin-3-yl)-4-nitropyrrolidine-2-carboxylate, title compound",TP,
FN,STARTING_MATERIAL,Core 12,322,"(2S,3R,4S,5S)-ethyl 3-(tert-butyl)-5-(2-methoxypyridin-3-yl)-4-nitropyrrolidine-2-carboxylate, cyclohexanecarbonyl chloride","(2S,3R,4S,5S)-ethyl 3-(tert-butyl)-5-(2-methoxypyridin-3-yl)-4-nitropyrrolidine-2-carboxylate, Core 12, cyclohexanecarbonyl chloride",TP,
FN,REAGENT_CATALYST,"N,N-dimethylformamide",322,"oxalyl chloride, triethylamine","N,N-dimethylformamide, oxalyl chloride, triethylamine",TP,
FP,TEMPERATURE,<0° C,322,"<0° C, ambient temperature",ambient temperature,TP,
FP,TEMPERATURE,room temperature,328,"70° C, room temperature",70° C,TP,
FP,TIME,overnight,328,overnight,,TP,
FN,STARTING_MATERIAL,1-fluoro-3-iodopropane,329,compound from Ex. 53A,"1-fluoro-3-iodopropane, compound from Ex. 53A",TP,
FP,REACTION_PRODUCT,"4-(3-(4-(1H-imidazo[4,5-b]pyridin-5-yl)piperazine-1-carbonyl)-4-methoxybenzyl)phthalazin-1(2H)-one",333,"4-(3-(4-(1H-imidazo[4,5-b]pyridin-5-yl)piperazine-1-carbonyl)-4-methoxybenzyl)phthalazin-1(2H)-one","14, 4-(3-(4-(1H-imidazo[4,5-b]pyridin-5-yl)piperazine-1-carbonyl)-4-methoxybenzyl)phthalazi n-1(2H)-one",TP,
FN,REACTION_PRODUCT,14,333,"4-(3-(4-(1H-imidazo[4,5-b]pyridin-5-yl)piperazine-1-carbonyl)-4-methoxybenzyl)phthalazin-1(2H)-one","14, 4-(3-(4-(1H-imidazo[4,5-b]pyridin-5-yl)piperazine-1-carbonyl)-4-methoxybenzyl)phthalazi n-1(2H)-one",TP,
FN,REACTION_PRODUCT,"4-(3-(4-(1H-imidazo[4,5-b]pyridin-5-yl)piperazine-1-carbonyl)-4-methoxybenzyl)phthalazi n-1(2H)-one",333,"4-(3-(4-(1H-imidazo[4,5-b]pyridin-5-yl)piperazine-1-carbonyl)-4-methoxybenzyl)phthalazin-1(2H)-one","14, 4-(3-(4-(1H-imidazo[4,5-b]pyridin-5-yl)piperazine-1-carbonyl)-4-methoxybenzyl)phthalazi n-1(2H)-one",TP,
FN,REACTION_PRODUCT,target compound,338,"2,2'-(1,3-phenylenebis(azanediyl))bis(1,1-difluoro-2-oxoethane-1-sulfonyl fluoride)","2,2'-(1,3-phenylenebis(azanediyl))bis(1,1-difluoro-2-oxoethane-1-sulfonyl fluoride), SM-8, target compound",TP,
FN,REACTION_PRODUCT,SM-8,338,"2,2'-(1,3-phenylenebis(azanediyl))bis(1,1-difluoro-2-oxoethane-1-sulfonyl fluoride)","2,2'-(1,3-phenylenebis(azanediyl))bis(1,1-difluoro-2-oxoethane-1-sulfonyl fluoride), SM-8, target compound",TP,
FP,STARTING_MATERIAL,"1,3-phenylenediamine",338,"1,3-phenylenediamine, 2-(fluorosulfonyl)difluoroacetyl fluoride","1, 3-phenylenediamine, 2-(fluorosulfonyl)difluoroacetyl fluoride",TP,
FN,STARTING_MATERIAL,"1, 3-phenylenediamine",338,"1,3-phenylenediamine, 2-(fluorosulfonyl)difluoroacetyl fluoride","1, 3-phenylenediamine, 2-(fluorosulfonyl)difluoroacetyl fluoride",TP,
FP,REACTION_PRODUCT,"5-(2,3-dimethylphenyl)-3-(2-methylaminoethyl)-1-{2-oxo-2-[4-(2-oxo-1,2,4,5-tetrahydro-benzo[d][1,3]diazepin-3-yl)-piperidin-1-yl]-ethyl}-1H-pyrimidine-2,4-dione",339,"5-(2,3-dimethylphenyl)-3-(2-methylaminoethyl)-1-{2-oxo-2-[4-(2-oxo-1,2,4,5-tetrahydro-benzo[d][1,3]diazepin-3-yl)-piperidin-1-yl]-ethyl}-1H-pyrimidine-2,4-dione","[3-(2-tert-butoxycarbonylaminoethyl)-5-(2,3-dimethylphenyl)-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-yl]-acetic acid",FP,
FN,REACTION_PRODUCT,"[3-(2-tert-butoxycarbonylaminoethyl)-5-(2,3-dimethylphenyl)-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-yl]-acetic acid",339,"5-(2,3-dimethylphenyl)-3-(2-methylaminoethyl)-1-{2-oxo-2-[4-(2-oxo-1,2,4,5-tetrahydro-benzo[d][1,3]diazepin-3-yl)-piperidin-1-yl]-ethyl}-1H-pyrimidine-2,4-dione","[3-(2-tert-butoxycarbonylaminoethyl)-5-(2,3-dimethylphenyl)-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-yl]-acetic acid",TP,
FP,SOLVENT,chloroform,343,"chloroform, dichloromethane",dichloromethane,TP,
FN,STARTING_MATERIAL,chloroacetyl chloride,344,"2-(trimethylsillyl)ethoxymethyl chloride, 3-piperidinemethanol, 4-(piperidine-3-ylmethoxy)-7H-pyrrolo[2,3-d]pyrimidine, 4-chloro-7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine, 6-chloro-7-deazapurine, di-tert-butyl dicarbamate (Boc2O), tert-butyl 3-(((7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate, tert-butyl 3-(hydroxymethyl)piperidine-1-carboxylate, tert-butyl-3-(((7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate","1-(3-(((7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-yl)-2-chloroethane-1-one, 2-(trimethylsillyl)ethoxymethyl chloride, 3-piperidinemethanol, 4-(piperidine-3-ylmethoxy)-7H-pyrrolo[2,3-d]pyrimidine, 4-chloro-7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine, 6-chloro-7-deazapurine, Boc2O, chloroacetyl chloride, di-tert-butyl dicarbamate, potassium cyanide, tert-butyl 3-(((7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate, tert-butyl 3-(hydroxymethyl)piperidine-1-carboxylate, tert-butyl-3-(((7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate",TP,
FN,STARTING_MATERIAL,potassium cyanide,344,"2-(trimethylsillyl)ethoxymethyl chloride, 3-piperidinemethanol, 4-(piperidine-3-ylmethoxy)-7H-pyrrolo[2,3-d]pyrimidine, 4-chloro-7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine, 6-chloro-7-deazapurine, di-tert-butyl dicarbamate (Boc2O), tert-butyl 3-(((7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate, tert-butyl 3-(hydroxymethyl)piperidine-1-carboxylate, tert-butyl-3-(((7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate","1-(3-(((7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-yl)-2-chloroethane-1-one, 2-(trimethylsillyl)ethoxymethyl chloride, 3-piperidinemethanol, 4-(piperidine-3-ylmethoxy)-7H-pyrrolo[2,3-d]pyrimidine, 4-chloro-7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine, 6-chloro-7-deazapurine, Boc2O, chloroacetyl chloride, di-tert-butyl dicarbamate, potassium cyanide, tert-butyl 3-(((7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate, tert-butyl 3-(hydroxymethyl)piperidine-1-carboxylate, tert-butyl-3-(((7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate",TP,
FN,STARTING_MATERIAL,"1-(3-(((7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-yl)-2-chloroethane-1-one",344,"2-(trimethylsillyl)ethoxymethyl chloride, 3-piperidinemethanol, 4-(piperidine-3-ylmethoxy)-7H-pyrrolo[2,3-d]pyrimidine, 4-chloro-7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine, 6-chloro-7-deazapurine, di-tert-butyl dicarbamate (Boc2O), tert-butyl 3-(((7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate, tert-butyl 3-(hydroxymethyl)piperidine-1-carboxylate, tert-butyl-3-(((7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate","1-(3-(((7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-yl)-2-chloroethane-1-one, 2-(trimethylsillyl)ethoxymethyl chloride, 3-piperidinemethanol, 4-(piperidine-3-ylmethoxy)-7H-pyrrolo[2,3-d]pyrimidine, 4-chloro-7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine, 6-chloro-7-deazapurine, Boc2O, chloroacetyl chloride, di-tert-butyl dicarbamate, potassium cyanide, tert-butyl 3-(((7-((2-(trimethylsillyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate, tert-butyl 3-(hydroxymethyl)piperidine-1-carboxylate, tert-butyl-3-(((7H-pyrrolo[2,3-d]pyrimidine-4-yl)oxy)methyl)piperidine-1-carboxylate",TP,
FP,REAGENT_CATALYST,chloroacetyl chloride,344,"10% ammonium hydroxide solution, 4N HCI solution, N,N-diisopropylethylamine, chloroacetyl chloride, sodium hydride (60wt%), tetrabutylammonium fluoride, triethylamine","HCI, N,N-diisopropylethylamine, NaHCO3, sodium hydride, sodium hydrogen carbonate, tetrabutylammonium fluoride, triethylamine",FP,
FP,REAGENT_CATALYST,10% ammonium hydroxide solution,344,"10% ammonium hydroxide solution, 4N HCI solution, N,N-diisopropylethylamine, chloroacetyl chloride, sodium hydride (60wt%), tetrabutylammonium fluoride, triethylamine","HCI, N,N-diisopropylethylamine, NaHCO3, sodium hydride, sodium hydrogen carbonate, tetrabutylammonium fluoride, triethylamine",TP,
FN,REAGENT_CATALYST,sodium hydrogen carbonate,344,"10% ammonium hydroxide solution, 4N HCI solution, N,N-diisopropylethylamine, chloroacetyl chloride, sodium hydride (60wt%), tetrabutylammonium fluoride, triethylamine","HCI, N,N-diisopropylethylamine, NaHCO3, sodium hydride, sodium hydrogen carbonate, tetrabutylammonium fluoride, triethylamine",TP,
FN,REAGENT_CATALYST,NaHCO3,344,"10% ammonium hydroxide solution, 4N HCI solution, N,N-diisopropylethylamine, chloroacetyl chloride, sodium hydride (60wt%), tetrabutylammonium fluoride, triethylamine","HCI, N,N-diisopropylethylamine, NaHCO3, sodium hydride, sodium hydrogen carbonate, tetrabutylammonium fluoride, triethylamine",TP,
FP,SOLVENT,saturated sodium hydrogen carbonate (NaHCO3) solution,344,"1,4-dioxane, N,N-dimethylformamide, dichloromethane (CH2Cl2), dimethyl sulfoxide (DMSO), saturated sodium hydrogen carbonate (NaHCO3) solution, tetrahydrofuran","1,4-dioxane, CH2Cl2, DMSO, N,N-dimethylformamide, dichloromethane, dimethyl sulfoxide, tetrahydrofuran",FP,
FP,TEMPERATURE,reflux,344,"about 0°C, about 50°C, reflux, room temperature","0°C, 30°C, 40°C, 50°C, refluxed, room temperature",TP,
FN,TEMPERATURE,40°C,344,"about 0°C, about 50°C, reflux, room temperature","0°C, 30°C, 40°C, 50°C, refluxed, room temperature",TP,
FN,TEMPERATURE,30°C,344,"about 0°C, about 50°C, reflux, room temperature","0°C, 30°C, 40°C, 50°C, refluxed, room temperature",TP,
FN,TEMPERATURE,refluxed,344,"about 0°C, about 50°C, reflux, room temperature","0°C, 30°C, 40°C, 50°C, refluxed, room temperature",TP,
FN,TIME,5 minutes,344,"about 1 hour, about 1.5 hour, about 2 hours, about 20 minutes, about 24 hours, about 48 hours","1 hour, 1.5 hour, 2 hours, 20 minutes, 24 hours, 48 hours, 5 minutes",TP,
FN,YIELD_PERCENT,64.00%,344,"about 30.0%, about 45.0%, about 49.0%, about 58.0%, about 61%, about 71.0%","30.0%, 45.0%, 49.0%, 58.0%, 61%, 64.0 %, 71.0%",TP,
FN,YIELD_OTHER,34.4 mg,344,"120 mg, 141 mg, 252 mg, 282 mg, 54.9 mg, 964 mg","120 mg, 141 mg, 252 mg, 282 mg, 34.4 mg, 54.9 mg, 964 mg",TP,
FN,STARTING_MATERIAL,"4,4'-dimethoxytrityl chloride",348,N4-acetyl-2'-O-(2-cyanoethoxymethoxymethyl) cytidine (1c),"1c, 4,4'-dimethoxytrityl chloride, N4-acetyl-2'-O-(2-cyanoethoxymethoxymethyl) cytidine",TP,
FP,REAGENT_CATALYST,"4,4'-dimethoxytrityl chloride",348,"4,4'-dimethoxytrityl chloride",pyridine,FP,
FN,REAGENT_CATALYST,pyridine,348,"4,4'-dimethoxytrityl chloride",pyridine,FN,
FP,SOLVENT,pyridine,348,pyridine,,TP,
FP,YIELD_OTHER,purity 99.2%,348,"23 g, purity 99.2%",23 g,FP,
FP,TEMPERATURE,60°C,349,"60°C, RT","60° C, RT",TP,
FN,TEMPERATURE,60° C,349,"60°C, RT","60° C, RT",TP,
FP,TIME,overnight,349,"30 min, overnight",30 min,TP,
FN,REAGENT_CATALYST,pyridine hydrochloride,350,Pyridine HCl,"Pyridine HCl, pyridine hydrochloride",TP,
FN,REACTION_PRODUCT,target compound,351,"(S)-4-((1-(8-chloro-1-oxo-2-phenyl-1,2-dihydroisoquinoline-3-yl)ethyl)amino)-8-(4-methoxybenzyl)pyrido[2,3-d]pyrimidine-5(8H)-one","(S)-4-((1-(8-chloro-1-oxo-2-phenyl-1,2-dihydroisoquinoline-3-yl)ethyl)amino)-8-(4-methoxybenzyl)pyrido[2,3-d]pyrimidine-5(8H)-one, target compound",TP,
FN,STARTING_MATERIAL,"N,N-dimethylformamide dimethyl acetal",351,(S)-3-(1-((5-acetyl-6-((4-methoxybenzyl)amino)pyrimidine-4-yl)amino)ethyl)-8-chloro-2-phenylisoquinoline-1(2H)-one,"(S)-3-(1-((5-acetyl-6-((4-methoxybenzyl)amino)pyrimidine-4-yl)amino)ethyl)-8-chloro-2-phenylisoquinoline-1(2H)-one, N,N-dimethylformamide dimethyl acetal",FN,
FP,REAGENT_CATALYST,"N,N-dimethylformamide dimethyl acetal",351,"N,N-dimethylformamide dimethyl acetal",,TP,
FN,SOLVENT,DMF,351,anhydrous dimethylformamide,"DMF, dimethylformamide",TP,
FN,STARTING_MATERIAL,"2-[N,N-bis(trifluoromethanesulfonyl)amino]-5-chloropyridine",352,"(R)-tert-butyl (2-(8-(benzyloxy)-2-oxo-1,2-dihydroquinolin-5-yl)-2-((tert-butyldimethylsilyl)oxy)ethyl)(4-hydroxyphenethyl)carbamate","(R)-tert-butyl (2-(8-(benzyloxy)-2-oxo-1,2-dihydroquinolin-5-yl)-2-((tert-butyldimethylsilyl)oxy)ethyl)(4-hydroxyphenethyl)carbamate, 2-[N,N-bis(trifluoromethanesulfonyl)amino]-5-chloropyridine",TP,
FP,REAGENT_CATALYST,"2-[N,N-bis(trifluoromethanesulfonyl)amino]-5-chloropyridine",352,"2-[N,N-bis(trifluoromethanesulfonyl)amino]-5-chloropyridine, triethylamine",triethylamine,FP,
FP,TEMPERATURE,room temperature,352,"0° C, room temperature",0° C,TP,
FN,REAGENT_CATALYST,ammonia,353,HATU,"HATU, ammonia, triethylamine",TP,
FN,REAGENT_CATALYST,triethylamine,353,HATU,"HATU, ammonia, triethylamine",TP,
FN,SOLVENT,DMA,353,THF,"DMA, THF, methanol",TP,
FN,SOLVENT,methanol,353,THF,"DMA, THF, methanol",TP,
FP,REACTION_PRODUCT,"(E)-methyl 3-(3,5-difluoro-4-((1R,3R/1S,3S)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)phenyl)acrylate",354,"(E)-methyl 3-(3,5-difluoro-4-((1R,3R/1S,3S)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)phenyl)acrylate","(E)-methyl 3-(3,5-difluoro-4-((1R,3R/1S,3S)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahy drobenzofuro[2,3-c]pyridin-1-yl)phenyl)acrylate, 4d, title compound",TP,
FN,REACTION_PRODUCT,"(E)-methyl 3-(3,5-difluoro-4-((1R,3R/1S,3S)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahy drobenzofuro[2,3-c]pyridin-1-yl)phenyl)acrylate",354,"(E)-methyl 3-(3,5-difluoro-4-((1R,3R/1S,3S)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)phenyl)acrylate","(E)-methyl 3-(3,5-difluoro-4-((1R,3R/1S,3S)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahy drobenzofuro[2,3-c]pyridin-1-yl)phenyl)acrylate, 4d, title compound",TP,
FN,REACTION_PRODUCT,4d,354,"(E)-methyl 3-(3,5-difluoro-4-((1R,3R/1S,3S)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)phenyl)acrylate","(E)-methyl 3-(3,5-difluoro-4-((1R,3R/1S,3S)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahy drobenzofuro[2,3-c]pyridin-1-yl)phenyl)acrylate, 4d, title compound",TP,
FN,STARTING_MATERIAL,1e,354,"(E)-methyl 3-(3,5-difluoro-4-formylphenyl) acrylate, N-(1-(benzofuran-3-yl)propan-2-yl)-2-fluoro-2-methylpropan-1-amine","(E)-methyl 3-(3,5-difluoro-4-formylphenyl) acrylate, 1e, 4c, N-(1-(benzofuran-3-yl)propan-2-yl)-2-fluoro-2-methylpropan-1-amine",TP,
FN,STARTING_MATERIAL,4c,354,"(E)-methyl 3-(3,5-difluoro-4-formylphenyl) acrylate, N-(1-(benzofuran-3-yl)propan-2-yl)-2-fluoro-2-methylpropan-1-amine","(E)-methyl 3-(3,5-difluoro-4-formylphenyl) acrylate, 1e, 4c, N-(1-(benzofuran-3-yl)propan-2-yl)-2-fluoro-2-methylpropan-1-amine",TP,
FN,YIELD_OTHER,2.30 mmol,356,1.96 g,"1.96 g, 2.30 mmol",TP,
FN,REACTION_PRODUCT,target compound,360,"rac-7-[(2,6-Difluorobenzyl)oxy]-N-{2-[2-(difluoromethyl)-2H-tetrazol-5-yl]-1-hydroxypropan-2-yl}-2,5-dimethylpyrazolo[1,5-a]pyridine-3-carboxamide","rac-7-[(2,6-Difluorobenzyl)oxy]-N-{2-[2-(difluoromethyl)-2H-tetrazol-5-yl]-1-hydroxypropan-2-yl}-2,5-dimethylpyrazolo[1,5-a]pyridine-3-carboxamide, target compound",TP,
FP,YIELD_OTHER,purity 95%,360,"40 mg, purity 95%",40 mg,FP,
FN,STARTING_MATERIAL,tributylvinyltin,361,"trans-N-(3-bromo-4-fluorophenyl)-2-chloro-5-(2,2-dichloro-3-(3,5-dichlorophenyl)cyclopropane-1-carboxamido)benzamide (F1304)","F1304, trans-N-(3-bromo-4-fluorophenyl)-2-chloro-5-(2,2-dichloro-3-(3,5-dichlorophenyl)cyclopropane-1-carboxamido)benzamide, tributylvinyltin",TP,
FP,REAGENT_CATALYST,tributylvinyltin,361,"bis(triphenylphosphine)palladium(II) dichloride, tributylvinyltin",bis(triphenylphosphine)palladium(II) dichloride,FP,
FN,REAGENT_CATALYST,potassium carbonate,365,tetrakis-(triphenylphosphine)palladium,"potassium carbonate, tetrakis-(triphenylphosphine)palladium",TP,
FN,SOLVENT,aqueous,365,tetrahydrofuran,"aqueous, tetrahydrofuran",FN,
FP,TEMPERATURE,heated,365,"heated, room temperature",room temperature,TP,
FN,REAGENT_CATALYST,K2CO3,366,Cu,"Cu, K2CO3",TP,
FN,REACTION_PRODUCT,title product,368,"trans-1,3-dichloro-5-(2,2-dichloro-3-(4-methoxyphenyl)cyclopropyl)benzene (C48)","C48, title product, trans-1,3-dichloro-5-(2,2-dichloro-3-(4-methoxyphenyl)cyclopropyl)benzene",TP,
FP,STARTING_MATERIAL,"N-benzyl-N,N-diethylethanaminium chloride",368,"(E)-1,3-dichloro-5-(4-methoxystyryl)benzene (C61), N-benzyl-N,N-diethylethanaminium chloride","(E)-1,3-dichloro-5-(4-methoxystyryl)benzene, C61, chloroform",FP,
FN,STARTING_MATERIAL,chloroform,368,"(E)-1,3-dichloro-5-(4-methoxystyryl)benzene (C61), N-benzyl-N,N-diethylethanaminium chloride","(E)-1,3-dichloro-5-(4-methoxystyryl)benzene, C61, chloroform",TP,
FN,REAGENT_CATALYST,"N-benzyl-N,N-diethylethanaminium chloride",368,aqueous sodium hydroxide,"N-benzyl-N,N-diethylethanaminium chloride, sodium hydroxide",TP,
FP,SOLVENT,chloroform,368,"Aqueous, chloroform",Aqueous,TP,
FN,REAGENT_CATALYST,CAS#563-63-3,370,"Silver acetate, Triethylamine","CAS#563-63-3, Silver acetate, Triethylamine",TP,
FN,STARTING_MATERIAL,(bromodifluoromethyl)trimethylsilane,372,Compound 131,"(bromodifluoromethyl)trimethylsilane, 131",TP,
FP,REAGENT_CATALYST,(bromodifluoromethyl)trimethylsilane,372,"(bromodifluoromethyl)trimethylsilane, potassium hydroxide",potassium hydroxide,FP,
FN,REACTION_PRODUCT,desired compound,375,"2-(2-(4-benzoyl-piperazinyl)ethyl)-2,4-dihydro-7-methoxy-4,4-dimethylchromeno[4,3-c]pyrazole","2-(2-(4-benzoyl-piperazinyl)ethyl)-2,4-dihydro-7-methoxy-4,4-dimethylchromeno[4,3-c]pyrazole, desired compound",TP,
FP,TEMPERATURE,ice-water bath,376,"ice-water bath, room temperature",room temperature,TP,
