Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume26article23_1_1,Oxygen,N/A,Ozone,N/A,N/A,N/A,N/A,N/A
volume26article23_2_1,Oxygen,N/A,Ozone,N/A,N/A,N/A,N/A,N/A
volume26article23_3_1,N/A,N/A,Ozone,N/A,N/A,N/A,N/A,N/A
volume26article23_4_1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
volume26article23_5_1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
volume26article23_6_1,Oxygen,N/A,Ozone,N/A,N/A,N/A,N/A,N/A
volume26article23_7_1,Oxygen,N/A,Ozone,N/A,"Potassium iodide solution, 5% hydrochloric acid",N/A,5 minutes,N/A
volume26article23_8_1,Unsaturated organic compound,N/A,Ozonized compound,N/A,"Suitable solvent (e.g. glacial acetic acid, methyl chloride, ethyl chloride, carbon tetrachloride)",N/A,Calculated time,N/A
volume27article6_1_1,"2-amino-2-methyl-1-propanol, concentrated sulfuric acid, sodium hydroxide","100 g (107 ml, 1.12 moles), 110 g (60 ml, 1.06 moles), 100 g (2.5 moles)","2,2-Dimethylethylenimine",36-41 g,water,"115°C, 175°C, 125°C",N/A,45-51%
volume27article6_2_1,"2,2-dimethylethylenimine, Raney nickel","35.5 g (0.5 mole), 9 g",tert-Butylamine,55-60 g,dioxane,60°C,N/A,75-82%
volume27article6_3_1,"concentrated sulfuric acid, urea, tert-butyl alcohol","193 g (105 ml, 1.98 moles), 60 g (1 mole), 148 g (188 ml, 2 moles)",tert-Butylurea,36-39 g,water,20-25°C,overnight,31-33%
volume27article6_4_1,"tert-butylurea, phthalic anhydride","35 g (0.3 mole), 100 g (0.675 mole)",tert-Butylphthalimide,43-46.5 g,"95% ethanol, petroleum ether",200-240°C,"10 minutes (heating), 5 minutes (holding)",72-76%
volume27article6_5_1,"tert-butylphthalimide, hydrazine hydrate","203 g (1 mole), 59 g (1 mole)",tert-Butylamine hydrochloride,79-97 g,ethanol,reflux,2 hours,72-88%
volume27article6_6_1,"tert-butylamine hydrochloride, sodium hydroxide, potassium carbonate","109.5 g (1 mole), 150 ml, N/A",tert-Butylamine,46-69 g,N/A,N/A,N/A,64-94%
volume27article6_7_1,"sodium hydroxide pellets, tert-butylurea","60 g (1.5 moles), 70 g (0.6 mole)",tert-butylamine,31-34 g,ethylene glycol,reflux,4 hours,71-78%
volume27article9_1_1,"sodium bisulfite, formaldehyde, diethylamine, sodium cyanide","312 g (3 moles), 225 ml, 219 g (309 ml, 3 moles), 147 g (3 moles)",diethylaminoacetonitrile,298-302 g,water,35°C,1.5 hours,88-90%
volume27article11_1_1,"Ethyl acetoacetate, acetaldehyde, piperidine, absolute ethanol","210 ml (210 g, 1.61 mole), 45 ml (35.2 g, 0.78 mole), 2 ml, 5 ml","3,5-Dimethyl-4-carbethoxy-2-cyclohexen-1-one",220-234 g,ice-salt bath,"-5°C to 0°C, room temperature","6 hours, 24 hours, 1 day",47-50%
volume27article11_2_1,"Crude 3,5-dimethyl-4-carbethoxy-2-cyclohexen-1-one, water, ethanol, sodium hydroxide, concentrated sulfuric acid",N/A,"3,5-Dimethyl-2-cyclohexen-1-one",155-165 g,ether,Reflux,15 minutes,52-55%
volume27article15_1_1,"Isopropyl alcohol, ethyl acetoacetate, boron fluoride","30.0 g (0.5 mole), 65.0 g (0.5 mole), N/A",Ethyl α-isopropylacetoacetate,52-58 g,ether,"0-7°C, 28°C",2.5 hours,60-67%
volume27article17_1_1,"Potassium cyanide, formaldehyde, sulfuric acid","130 g (2.0 moles), 170 ml (2.0 moles), 230 ml",Glycolonitrile,86.5-91 g,"water, ether",<10°C,48 hours,76-80%
volume27article25_1_1,"dimethylaniline, concentrated sulfuric acid, concentrated nitric acid","363 g (3.0 moles), 1270 ml (23.0 moles), 286 g (200 ml, 3.15 moles)",m-nitrodimethylaniline,280-316 g,"concentrated sulfuric acid, concentrated nitric acid",5-10°C,1.5 hours,56-63%
volume27article27_1_1,"sodium hydroxide, furylacrylic acid, Raney nickel-aluminum alloy","150 g, 41.4 g (0.3 mole), 100 g","γ-n-propylbutyrolactone, β-(tetrahydrofuryl) propionic acid","13.0-14.9 g, 15.0-17.0 g",water,"60-70°C, 95°C","4-4.5 hours, 2-3 hours","33-37%, 34-39%"
volume28article11_1_1,"acetanilide, chloroacetyl chloride, aluminum chloride","202 g (1.5 moles), 300 g (2.66 moles), 600 g (4.5 moles)",p-Chloroacetylacetanilide,250-265 g,carbon disulfide,reflux,30 minutes,79-83%
volume28article21_1_1,"4-nitro-1-naphthylamine, sodium nitrite, sulfuric acid, glacial acetic acid, copper sulfate, sodium sulfite, sodium nitrite","10 g (0.053 mole), 10 g (0.14 mole), 50 ml, 100 ml, 50 g, 50 g, 100 g","1,4-dinitronaphthalene",6.0-7.0 g,"glacial acetic acid, water","Below 20°C, 0°C",1 hour,52-60%
volume29article7_1_1,"2-amino-2-methyl-1-propanol, concentrated sulfuric acid, sodium hydroxide","100 g (107 ml, 1.12 moles), 110 g (60 ml, 1.06 moles), 100 g (2.5 moles)","2,2-Dimethylethylenimine",36-41 g,water,"115°C, 175°C, 125°C",N/A,45-51%
volume29article7_6_1,"tert-butylamine hydrochloride, sodium hydroxide, potassium carbonate","109.5 g (1 mole), 150 ml, N/A",tert-Butylamine,46-69 g,N/A,N/A,N/A,64-94%
volume29article7_7_1,"sodium hydroxide pellets, tert-butylurea","60 g (1.5 moles), 70 g (0.6 mole)",tert-butylamine,31-34 g,ethylene glycol,reflux,4 hours,71-78%
volume29article14_1_1,"Aniline, ethyl acetoacetate","46.5 g (45.5 ml, 0.5 mole), 65 g (63.5 ml, 0.5 mole)",Ethyl β-anilinocrotonate,78-82 g,benzene,125°C,3 hours + 30 minutes,76-80%
volume30article26_1_1,"magnesium turnings, diethyl malonate, o-nitrobenzoyl chloride","5.4 g (0.22 g atom), 35.2 g (0.22 mole), 37 g (0.2 mole)",o-Nitroacetophenone,27.0-27.4 g,"absolute ethanol, carbon tetrachloride, absolute ether",reflux,"3 hours, 4 hours",82-83%
volume30article27_1_1,"Sodium, liquid ammonia, ferric nitrate hydrate, anil, styrene dibromide","100 g (4.35 g atoms), 2 L, 2 g, 2 g, 528 g (2 moles)",Phenylacetylene,93-106 g,liquid ammonia,N/A,2 hours,45-52%
volume30article29_1_1,"ethyl phenylcyanoacetate, acrylonitrile, potassium hydroxide","57.0 g (0.30 mole), 33.0 g (0.62 mole), 1.0 ml",α-phenyl-α-carbethoxyglutaronitrile,50-61 g,tert-butyl alcohol,40-45°C,1 hour,69-83%
volume30article30_1_1,"α-phenyl-α-carbethoxyglutaronitrile, hydrochloric acid, acetic acid","48.4 g (0.20 mole), 225 ml, 50 ml",α-phenylglutaric anhydride,31.1-32.7 g,"ether-ethyl acetate, acetic anhydride","reflux, 1 hour",10 hours,82-86%
volume30article31_1_1,"diethyl benzalmalonate, potassium cyanide","200 g (0.81 mole), 56 g (0.86 mole)",Ethyl β-phenyl-β-cyanopropionate,130-140 g,ethanol,65-75°C,18 hours,N/A
volume30article31_2_1,Crude ester,N/A,Phenylsuccinic acid,105-110 g,concentrated hydrochloric acid,Reflux,18 hours,67-70%
volume30article32_1_1,"o-phenylenediamine, glyoxal-sodium bisulfite, sodium carbonate monohydrate","135 g (1.25 moles), 344 g (1.29 moles), 500 g",Quinoxaline,138-147 g,water,70°C,15 minutes,85-90%
volume30article32_2_1,"quinoxaline, potassium permanganate, hydrochloric acid","145 g (1.12 moles), 1050 g (6.6 moles), 550 ml (6.6 moles)","2,3-Pyrazinedicarboxylic acid",140-145 g,"water, acetone",90°C,1.5 hours,75-77%
volume30article34_1_1,"Maleic anhydride, butadiene","196 g (2 moles), N/A",cis-Δ4-tetrahydrophthalic anhydride,281.5-294.5 g,benzene,50-75°C,2-2.5 hours,93-97%
volume30article35_1_1,"powdered sodium, arsenic trichloride, chlorobenzene","130 g (5.65 g atoms), 170 g (0.94 mole), 272 g (2.42 moles)",Triphenylarsine,218-225 g,"benzene, ethanol","reflux, 110-120°C",12 hours,88-91%
volume30article36_1_1,"sodium, 2-nitropropane, o-xylyl bromide","11.5 g (0.5 g atom), 46 g (0.52 mole), 92.5 g (0.50 mole)",o-tolualdehyde,41-44 g,ethanol,Room temperature,4 hours,68-73%
volume30article38_1_1,"Vinyl acetate, lauric acid","206 g (2.4 moles), 80 g (0.4 mole)",Vinyl laurate,48-53 g,N/A,Reflux,3 hours,53-59%
