nohup: ignoring input
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
| (1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide, butyllithium, diisopropylamine, acetic acid | 10.0 g (32.1 mmol), 32.3 mL (77.2 mmol), 4.5 mL (32 mmol), 100 mL | (R)-2-methyl-1-phenyl-3-heptanone | 5.80 g | toluene, ether, ethyl acetate, dichloromethane | -78°C, 0°C | 5 min, 15 min, 15 min | 88% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (R)-(+)-1,1,2-triphenyl-1,2-ethanediol, acetic anhydride, scandium(III) trifluoromethanesulfonate | 35.0 g (0.121 mol), 17.1 mL (0.181 mol), 1.23 g (2.5 mmol) | (R)-(+)-2-Hydroxy-1,2,2-triphenylethyl acetate | 35.42 g (0.107 mol) | acetonitrile | room temperature | 3 hours | 88% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Benzaldehyde, pyrrolidine, tert-butyl hydroperoxide in decane | 5.71 mL (6.0 g, 57 mmol), 5.66 mL (4.82 g, 68 mmol), 12.4 mL (62-74 mmol) | N-Benzoyl pyrrolidine | 8.74 g (49.9 mmol) | Acetonitrile | 70 °C | 6 hours | 88% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline hydrochloride, tert-butanol, 5% aqueous sodium hypochlorite | 5.16 g (21.8 mmol), 2.11 mL (21.8 mmol), 30.9 mL (25.1 mmol) | 2-Chloro-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline | 4.70-4.83 g | water, toluene | -5 °C to 0 °C | 30 minutes (addition), 15 minutes (stirring) | 95-97% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-thiophenecarboxaldehyde, K2CO3, tosylmethylisocyanide | 11.21 g (100.0 mmol), 24.19 g (175.0 mmol), 21.12 g (100.0 mmol) | 5-(Thiophen-2-yl)oxazole | 12.70 g | methanol | 66 °C (reflux) | 4 hours | 84% |
    | Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
    |-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
    | 5-(thiophen-2-yl)oxazole, lithium bis(trimethylsilyl)amide, N-bromosuccinimide | 9.14 g (60.5 mmol), 63.5 mL (1.0 M solution, 1.05 equiv), 10.76 g (60.45 mmol) | 4-bromo-5-(thiophen-2-yl)oxazole | 11.01 g | anhydrous DMF | -15°C to -10°C, -78°C | 30 min | 79% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| phenylmagnesium chloride, L-valine methyl ester hydrochloride, THF, NH4Cl, NaCl, EtOAc | 300 g (288 mL, 0.576 mol), 19.2 g (114 mmol), N/A, 250 mL, 50 mL, 150 mL | (2S)-2-Amino-3-methyl-1,1-diphenyl-butan-1-ol | 18.1 g | THF, ethyl acetate | -2°C to room temperature | 2 hours | 62% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| triisopropyl borate, ethylene glycol, (2S)-2-amino-3-methyl-1,1-diphenyl-butanol | 3.88 g (20.6 mmol), 1.26 g (20.3 mmol), 5.20 g (20.4 mmol) | (S)-1-(1,3,2-Dioxaborolan-2-yloxy)-3-methyl-1,1-diphenylbutan-2-amine | 6.56 g | toluene | 80°C, 60°C, 55°C | 20 min, 3 min | 99% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 3-acetyl pyridine, NH2OH•Cl, Na2CO3 | 12.1 g (100 mmol), 11.85 g (170 mmol), 7.46 g (70 mmol) | (E)-1-pyridin-3-yl-ethanone oxime | 11.3 g, 1.40 g | EtOH, water | 55°C, 62°C | 2.5 hours | 83%, 10% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (E)-1-pyridin-3-yl-ethanone oxime, sodium hydride, benzyl bromide | 10.95 g (80.5 mmol), 4.59 g (115 mmol), 14.45 g (85 mmol) | (E)-1-pyridin-3-yl-ethanone O-benzyl-oxime | 18.02 g | anhydrous DMF | -12 to -10 °C | 40 min | 99% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (E)-1-pyridin-3-yl-ethanone O-benzyl-oxime, Spiroborate ester 33, Borane-tetrahydrofuran complex | 13.54 g (60 mmol), 5.80 g (18 mmol), 235 mL (235 mmol) | (S)-1-Pyridin-3-yl-ethylamine | 8.03 g | anhydrous dioxane | 0-5 °C | 30 hours | 91% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (S)-1-Pyridin-3-yl-ethylamine, hydrochloric acid in ether | 7.49 g (50.9 mmol), 60 mL (120 mmol) | (S)-1-Pyridin-3-yl-ethylamine bis-hydrochloride | 8.90 g | MeOH, diethyl ether | ambient temperature, 30 °C | 20 minutes, 2 hours | 89% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| aryl amines, B2pin2, dibenzoyl peroxide (BPO) | N/A | arylboronates | N/A | N/A | Room temperature | 1-2 h | Moderate to good |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| celecoxib, potassium carbonate, 2-mesityl-2,5,6,7-tetrahydropyrrolo[2,1-c][1,2,4]triazol-4-ium chloride, benzaldehyde, benzyl bromide | 7.00 g (18.4 mmol), 5.07 g (36.7 mmol), 97 mg (0.37 mmol), 2.25 mL (2.33 g, 22.0 mmol), 3.27 mL (4.70 g, 27.5 mmol) | 1-(4-(Benzylsulfonyl)phenyl)-5-(p-tolyl)-3-(trifluoromethyl)-1H-pyrazole | 7.23 g | anhydrous ethanol, DMF | 70°C, ambient temperature (20-24°C) | 16 hours, 3 hours | 86% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| pyronin Y, sodium phosphate tribasic dodecahydrate, iodine, sodium phosphate, 37% formaldehyde solution, sodium cyanoborohydride | 7.40 g (24.4 mmol), 18.6 g (48.8 mmol), 6.20 g (24.4 mmol), 9.30 g (24.4 mmol), 0.91 mL (12 mmol), 0.767 g (12.2 mmol) | 3,6-bis(dimethylamino)-9H-xanthen-9-one | 3.65 g | N-Methyl-2-pyrrolidone, water, methanol, methylene chloride, acetic acid | 110°C, 23°C | 2 h, 16 h, 1 h, 3 h | 53% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Polyethylene glycol 4000, sulfuric acid, cellulose | 200 g, 2.50 g (25.5 mmol), 50 g (308 mmol of monomer) | (-)-Levoglucosenone | 13.9 g | methanol, ethyl acetate | 170-190°C | 30 min | 18% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tert-butyl-N-hydroxycarbamate, triethylamine, diphenylphosphinic chloride | 30.9 g (232 mmol), 37 mL (264 mmol), 40.4 mL (50.0 g, 211 mmol) | tert-butyl (diphenylphosphoryl)oxycarbamate | 67.0 g (201 mmol) | dichloromethane | -5°C to -15°C | 30 min | 95% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tert-butyl-(diphenylphosphoryl) oxycarbamate, methanesulfonic acid, diisopropylethylamine | 10.0 g (30.0 mmoles), 5.85 mL (8.65 g, 90.0 mmoles), 10.5 mL (60.0 mmoles) | O-(Diphenylphosphinyl)hydroxylamine | 5.32 g (22.8 mmol) | dichloromethane | -5 °C to 15 °C | 2 hours | 76% |
runningtime:3666.384356720024
