volume45article33_1_1,"Aluminum wool, diphenylmercury","12 g (0.44 g atom), 80 g (0.23 mole)",Triphenylaluminum,23-27 g,xylene,Reflux,24 hours,59-70%
volume50article6_1_1,"m-chlorobenzoyl chloride, sodium hydroxide, hydrogen peroxide","52.5 g (0.300 mole), 36 g, 90 ml",m-chloroperbenzoic acid,Approximately 51 g,"water, dioxane",15°C,15 minutes,80-85%
volume50article8_1_1,"cis-3,4-Dichlorocyclobutene, diiron nonacarbonyl","20 g (0.16 mole), 25 g",Cyclobutadieneiron tricarbonyl,13.8-14.4 g,benzene,50-55°C,6 hours,45-46%
volume50article11_1_1,"phenylacetic acid, phosphorus trichloride, bromine","230 g (1.69 moles), 15 g (0.12 mole), 288 g (1.80 moles)",α-Bromophenylacetic acid,217-233 g,benzene,reflux,2-3 days,60-62%
volume50article11_2_1,"α-bromophenylacetic acid, sodium carbonate, sodium sulfide","223 g (1.04 moles), 157 g (1.48 moles), 104 g (0.8 mole)","α,α'-Diphenylthiodiglycolic acid",135-140 g,water,"Room temperature, boiling point",3 hours,86-89%
volume50article11_3_1,"crude α,α'-diphenylthiodiglycolic acid, hydrogen peroxide, bromine, potassium bromide","24.9 g (0.0824 mole), 37.4 g (0.33 mole), 30 g, 30 g","α,α'-Dibromodibenzyl sulfone",9-10 g,glacial acetic acid,"Room temperature, 80°C","3 days, 30 minutes",27-30%
volume50article11_4_1,"benzyl chloride, sodium sulfide nonahydrate","25.8 g (0.212 mole), 36 g (0.15 mole)",dibenzyl sulfide,17.6 g,"ethanol, water",reflux,3 days,80%
volume50article11_5_1,"dibenzyl sulfide, bromine","11.35 g (0.05304 mole), 17.6 g (0.0978 mole)","α,α'-Dibromodibenzyl sulfone",6.5 g,carbon tetrachloride,reflux,3 hours,30%
volume50article12_1_1,"cycloöctatetraene, chlorine, dimethyl acetylenedicarboxylate","104 g (1.00 mole), 71 g (1.0 mole), 135 g (0.951 mole)","cis-3,4-dichlorocyclobutene",49-52 g,carbon tetrachloride,"-28°C to 0°C, reflux","1 hour, 3 hours",40-43%
volume50article13_1_1,"diethyl malonate, acetone, acetic anhydride, anhydrous zinc chloride","400 g (2.50 moles), 216 g (3.73 moles), 320 g (3.14 moles), 50 g (0.37 mole)",Diethyl isopropylidenemalonate,231-246 g,benzene,reflux,20-24 hours,46-49%
volume50article13_2_1,"magnesium turnings, methyl iodide, copper(I) chloride, diethyl isopropylidenemalonate","18.3 g (0.753 g-atom), 113.5 g (0.7993 mole), 1.0 g (0.010 mole), 100 g (0.500 mole)",Diethyl tert-butylmalonate,93.5-102 g,diethyl ether,0-5°C,30 minutes,87-94%
volume50article21_1_1,"cyclohexylamine, acetaldehyde","99.2 g (1.00 mole), 44.1 g (1.00 mole)",N-Ethylidenecyclohexylamine,95-99 g,diethyl ether,-20°C,45 minutes,76-79%
volume50article21_2_1,"diisopropylamine, methyllithium, N-ethylidenecyclohexylamine, benzophenone","2.53 g (3.60 ml, 0.0250 mole), 0.025 mole, 3.13 g (0.0250 mole), 4.55 g (0.0250 mole)","N-(3-hydroxy-3,3-diphenylpropylidene)cyclohexylamine",6.80-7.06 g,absolute ether,"0°C, -70°C, room temperature",24 hours,89-92%
volume50article21_3_1,"N-(3-hydroxy-3,3-diphenylpropylidene)cyclohexylamine, oxalic acid","1.54 g (0.00520 mole), 10 g (0.11 mole)",β-Phenylcinnamaldehyde,0.80-0.88 g,water,Steam distillation,2 hours,78-85%
volume50article22_1_1,"1,3-propanedithiol, methylal","32 g (30 ml, 0.30 mole), 25 g (29 ml, 0.33 mole)","1,3-dithiane",28-30 g,"boron trifluoride diethyl etherate, glacial acetic acid, chloroform",Reflux,8 hours,78-84%
volume50article29_1_1,"magnesium, ethyl bromide, phenylacetylene","19 g (0.81 g-atom), 109 g (1.00 mole), 102 g (1.00 mole)",Phenylethynylmagnesium bromide,N/A,tetrahydrofuran,reflux,ca. 1.5 hours,N/A
volume50article29_2_1,"Anhydrous copper(I) chloride, propargyl bromide","2 g, 96 g (0.81 mole)","1-Phenyl-1,4-pentadiyne",51-64 g,tetrahydrofuran,Reflux,20-40 minutes,45-57%
volume50article29_3_1,"1-phenyl-1,4-pentadiyne, sodium hydroxide","10 g (0.071 mole), 2 g","1-phenyl-1,3-pentadiyne",5.4-7.5 g,ethanol,N/A,ca. 2 hours,54-75%
volume50article30_1_1,"acetophenone, anhydrous N,N-dimethylhydrazine","12.0 g (0.100 mole), 18.0 g (0.300 mole)","acetophenone N,N-dimethylhydrazone",14.6-15.2 g,"ethanol, glacial acetic acid",reflux,24 hours,90-94%
volume50article30_2_1,"acetophenone N,N-dimethylhydrazone, anhydrous hydrazine","8.1 g (0.050 mole), 6.4 g (0.20 mole)",Acetophenone hydrazone,6.5-6.6 g,absolute ethanol,reflux,N/A,97-99%
volume50article32_1_1,"sodium azide, diethylene glycol dimethyl ether, chlorotrimethylsilane","81 g (1.2 moles), 500 ml, 112 g",trimethylsilyl azide,98 g,diethylene glycol dimethyl ether,70°C,60 hours,85%
volume55article27_1_1,"copper(I) iodide, (E)-1-propenyllithium, hexamethylphosphoric triamide, 1-iodooctane","12.58 g (0.066 mole), 132 ml (0.137 mole), 44 ml, 15.84 g (12 ml, 0.066 mole)",(E)-2-undecene,9.2-9.4 g,ether,"-78°C to -35°C, -35°C to -5°C","45-50 minutes, 10 minutes, 10 minutes, 45 minutes",90-93%
volume55article28_1_1,"N-aminophthalimide, (E)-stilbene, lead tetraäcetate","19.5 g (0.120 mole), 108 g (0.600 mole), 60 g (ca. 0.12 mole)","trans-2,3-Diphenyl-1-phthalimidoaziridine",16-21 g,dichloromethane,Room temperature,30 minutes,39-51%
volume55article28_2_1,"trans-2,3-diphenyl-1-phthalimidoaziridine, hydrazine hydrate","20.4 g (0.0600 mole), 150 ml (3 moles)","trans-1-Amino-2,3-diphenylaziridine",7.9-9.5 g,95% ethanol,43-45°C,40 minutes,63-75%
volume55article28_3_1,"styrene glycol, pyridine, methanesulfonyl chloride","34.5 g (0.250 mole), 90 ml, 64.7 g (43.7 ml, 0.560 mole)",Styrene glycol dimesylate,62-64 g,pyridine,-5°C to 2-4°C,4 hours,84-86%
volume55article28_4_1,"styrene glycol dimesylate, hydrazine hydrate","20 g (0.068 mole), 50 ml (1 mole)",N/A,N/A,pentane,Room temperature,20-24 hours,N/A
volume55article28_5_1,N/A,N/A,1-Amino-2-phenylaziridine,7.5-7.7 g,pentane,Room temperature,N/A,82-85%
volume55article28_6_1,N/A,N/A,1-Amino-2-phenylaziridinium acetate,10.0-10.5 g,pentane,0°C,20 minutes,76-79%
volume59article20_1_1,"bromobenzene, magnesium, selenium, bromine, ammonium chloride","160 g (1.02 mole), 24.0 g (0.988 g-atom), 70 g (0.89 g-atom), 74.3 g (23.8 ml, 0.465 mole), 53.5 g (1.00 mole)",diphenyl diselenide,89-97 g,"diethyl ether, water, hexane","reflux, room temperature, 6°C","30 minutes, N/A, N/A",64-70%
volume59article20_2_1,"diphenyl diselenide, chlorine gas","50 g (0.16 mole), 11.3 g (0.159 mole)",benzeneselenenyl chloride,51-54 g,hexane,40-50°C,N/A,84-88%
volume59article21_1_1,"lead tetraäcetate, iodine, 1-adamantanol","58.3 g (0.132 mole), 37.4 g (0.147 mole), 10.0 g (0.0654 mole)",endo-7-Iodomethylbicyclo[3.3.1]nonan-3-one,14-16 g,benzene,70-75°C,2 hours,N/A
volume59article21_2_1,"Iodo ketone, potassium hydroxide, methanol",N/A,4-Protoadamantanone,7.0-8.1 g,methanol,Reflux,3 hours,71-82%
volume60article5_1_1,"1,2-bis(trimethylsiloxy) cyclobutene, bromine","172 g (0.75 mol), 120 g (0.75 mol)","1,2-cyclobutanedione",42-46 g,pentane,-60°C to 40°C,2 hours,70-73%
volume60article11_1_1,"1,1',3,3'-tetraphenyl-2,2'-biimidazolidinylidene, 3-acetamidophenol","88.8 g (0.2 mol), 30.2 g (0.2 mol)","N-[2,4-bis(1,3-diphenylimidazolidin-2-yl)-5-hydroxyphenyl]acetamide",84.6-93.2 g,chlorobenzene,100°C,6 hours,71-78%
volume60article11_1_2,"N-[2,4-bis(1,3-diphenylimidazolidin-2-yl)-5-hydroxyphenyl]acetamide",95 g,"N-(2,4-diformyl-5-hydroxyphenyl)acetamide",21.8-22.3 g,aqueous 10% hydrochloric acid,room temperature,2 hours,66-67.5%
volume60article13_1_1,"diethyl fumarate, absolute ethanol, tetrabutylammonium perchlorate","172 g (1.0 mol), 200 mL, 3.41 g (0.1 mol)","Tetraethyl 1,2,3,4-butanetetracarboxylate",92-96 g,ethanol,35°C,Until theoretical quantity of electricity is passed,53-56%
volume60article17_1_1,"dimethyl 1,3-propanedioate, sodium iodide","132 g (1.0 mol), 15 g (0.10 mol)","Tetramethyl 1,1,2,2-ethanetetracarboxylate",88.4-91 g,methanol,60°C,13.5 hours,67-69%
volume60article19_1_1,"paraformaldehyde, N-methylanilinium trifluoroacetate, α-tetralone","6.75 g (0.225 mol), 16.57 g (0.075 mol), 7.30 g (0.05 mol)","2-methylene-1-oxo-1,2,3,4-tetrahydronaphthalene",6.8-7.2 g,tetrahydrofuran,reflux,4 hours,70-91%
volume74article3_1_1,"pyrrolidine, di-tert-butyl dicarbonate","11.3 mL, 24.6 g",N-(tert-Butoxycarbonyl)pyrrolidine,16.6 g,dichloromethane,"0°C, room temperature",3 hours,87%
volume74article3_2_1,"(-)-sparteine, N-Boc-pyrrolidine, sec-butyllithium, benzophenone, glacial acetic acid","30.2 mL, 15.0 g, 96 mL, 25.5 g, 8.5 mL",(R)-(+)-2-(Diphenylhydroxymethyl)-N-(tert-butoxycarbonyl)pyrrolidine,20.9-22.0 g,anhydrous ether,-70°C,"5.5 hours (stirring), 1.25 hours (addition)",73-74%
volume74article3_3_1,"(R)-(+)-2-(diphenylhydroxymethyl)-N-(tert-butoxycarbonyl)pyrrolidine, NaOH","22.0 g (62.3 mmol), 27.0 g (675 mmol)",(R)-(+)-2-(diphenylhydroxymethyl)pyrrolidine,14.5-15.8 g,ethanol,reflux,2.5 hours,92-100%
volume74article9_1_1,"water, acetone, sodium bicarbonate, Oxone","80 mL, 50 mL, 96 g, 180 g",Dimethyldioxirane,62-76 mL,acetone,N/A,N/A,N/A
volume74article9_2_1,"trans-stilbene, dimethyldioxirane","0.724 g (4.02 mmol), 66 mL (4.09 mmol)",trans-Stilbene oxide,0.788 g,acetone,Room temperature,6 hours,100%
volume74article16_1_1,"2-butyne-1,4-diol, triethylamine, phenylsulfenyl chloride","7.75 g (0.09 mol), 37.6 mL (0.27 mol), 26.0 g (0.18 mol)","2,3-bis(phenylsulfinyl)-1,3-butadiene",20.1 g (74%),dichloromethane,-78°C to room temperature,12 hours,74%
volume74article16_2_1,"2,3-bis(phenylsulfinyl)-1,3-butadiene, hydrogen peroxide, glacial acetic acid","17.0 g (56.3 mmol), 34 mL, 170 mL","2,3-bis(phenylsulfonyl)-1,3-butadiene",11.6 g,glacial acetic acid,90°C,5 hours,61%
volume74article16_3_1,"sodium hydride, dimethyl malonate, methyl 4-bromocrotonate","4.2 g (105 mmol), 13.7 mL (15.8 g, 120 mmol), 19.9 g (110 mmol)",Dimethyl (E)-5-methoxycarbonyl-2-hexenedioate,8.8 g (38%),tetrahydrofuran,0°C,20 minutes,38%
volume74article16_4_1,"sodium hydride, dimethyl (E)-5-methoxycarbonyl-2-hexenedioate, 2,3-bis(phenylsulfonyl)-1,3-butadiene","1.44 g (60% in oil, 36.0 mmol), 7.59 g (33.0 mmol), 10.02 g (30.0 mmol)","trans-4,7,7-Tricarbomethoxy-2-phenylsulfonylbicyclo[3.3.0]oct-1-ene",9.54 g,THF,0°C,30 min,75%
volume74article17_1_1,"5-methyl-5-hexen-2-one, trimethyl borate, tetrahydrofuran, zinc granules, methyl bromoacetate","24.20 g (0.216 mol), 60 mL, 60 mL, 16.96 g (0.259 g-atom), 39.65 g (0.259 mol)","Methyl 3,6-dimethyl-3-hydroxy-6-heptenoate",37.32-38.92 g,THF,25°C,3 hours,93-97%
volume74article17_2_1,"Crude ester, 2 N KOH in methanol","37.00 g (0.199 mol), 130 mL (0.260 mol)","3,6-Dimethyl-3-hydroxy-6-heptenoic acid",28.07-29.40 g,methanol,25°C,5 hours,82-86%
volume74article17_3_1,"crude 3,6-dimethyl-3-hydroxy-6-heptenoic acid, acetic anhydride, potassium acetate","29.40 g (0.171 mol), 185 mL, 40.28 g (0.410 mol)","1,4-Dimethylbicyclo[3.2.0]hept-3-en-6-one",17.70-18.86 g,light petroleum ether,reflux,3.5 hours,76-81%
volume75article16_1_1,"Ethyl levulinate, (2-bromoallyl)diisopropoxyborane",N/A,4-(2-bromo-2-propenyl)-4-methyl-γ-butyrolactone,16.4-17.1 g,"dichloromethane, diisopropyl ether","-20°C, reflux","30 min, 2 hr, 1 hr",66-69%
volume75article16_2_1,"(2-bromoallyl)diisopropoxyborane, ethyl levulinate","16.2 g (0.065 mol), 9.96 g (0.069 mol)",4-(2-bromo-2-propenyl)-4-methyl-γ-butyrolactone,9.22 g,tetrahydrofuran,"0°C, room temperature","1 hour, overnight",65%
volume75article19_1_1,"Sodium hydride, 3-phenylpropyltriphenylphosphonium bromide, ethyl trifluoroacetate","2.31 g (77 mmol), 32.3 g (70 mmol), 10.0 g (70 mmol)","(Z)-1,1,1-Trifluoro-2-ethoxy-5-phenyl-2-pentene",12.0-12.8 g,"tetrahydrofuran, pentane, diethyl ether","Reflux, 0°C","5 hours, 1 hour",70-75%
volume75article19_2_1,"1,1,1-trifluoro-2-ethoxy-5-phenyl-2-pentene, 70% meta-chloroperoxybenzoic acid","9.76 g (40 mmol), 14.79 g (60 mmol)","1,1,1-Trifluoro-2-ethoxy-2,3-epoxy-5-phenylpentane",9.36-9.88 g,dichloromethane,reflux,20 hours,90-95%
volume75article28_1_1,"60% sodium hydride, N-vinylpyrrolidin-2-one, ethyl benzoate","26.7 g (0.665 mol), 55.0 g (0.50 mol), 75.0 g (0.50 mol)",3-Benzoyl-N-vinylpyrrolidin-2-one,>100 g,toluene,reflux,10 hours,>100%
volume75article28_2_1,"Crude keto lactam, hydrochloric acid, tetrahydrofuran","100 g (0.46 mol), 0.5 L, 62.5 mL",2-Phenyl-1-pyrroline,41.0 g,THF,Reflux,4 hours,61%
volume75article29_1_1,"benzophenone, quinine, potassium tert-butoxide","112.2 g (0.61 mol), 111.11 g (0.31 mol), 87.1 g (0.78 mol)",Quininone,97.9 g,toluene,reflux,8 hours,98%
volume75article29_2_1,"Crude quininone 1, potassium tert-butoxide, glacial acetic acid, ammonium hydroxide, pyridine, benzoyl chloride","90.0 g (0.28 mol), 78.4 g (0.70 mol), 80 mL, 60 mL, 16.0 mL, 25.0 mL",N-Benzoylmeroquinene tert-butyl ester,61.2 g,"tetrahydrofuran, tert-butyl alcohol, water, ether, brine, dichloromethane","Ambient temperature, gentle reflux","1.5 hours, 2 hours",100%
volume75article29_3_1,"crude benzamide 2, concentrated sulfuric acid","56.0 g (0.17 mol), 275 mL","4a(S),8a(R)-2-Benzoyl-1,3,4,4a,5,8a-hexahydro-6(2H)-isoquinolinone",34.7 g,CH2Cl2,"0-10°C, 30°C",2 hours,80%
volume75article29_4_1,"enone 3, palladium (Pd)","34.7 g (0.14 mol), 4.0 g","4a(S),8a(R)-2-Benzoyloctahydro-6(2H)-isoquinolinone",34.3 g,denatured ethanol,50°C,1 hour,98%
volume79article16_1_1,"lithium aluminum hydride, (1R,4S)-(−)-camphorquinone monoxime","5.12 g (0.14 mol), 8.46 g (0.047 mol)",(2S)-(−)-3-exo-Aminoisoborneol,8.07 g,diethyl ether,reflux,1.5 hours,N/A
volume79article16_2_1,"(2S)-(−)-3-exo-aminoisoborneol, toluene, 12.5% aqueous potassium hydroxide solution, triphosgene","8.06 g (0.048 mmol), 70 mL, 55 mL (0.12 mol), 50 mL (0.095 mol)","(1R,2S,6R,7S)-1,10,10-trimethyl-4-oxo-5-aza-3-oxatricyclo[5.2.1.0]decane",8.07 g,toluene,0°C,1 hour,N/A
volume79article16_3_1,"crude (1R,2S,3R,4S)-3-exo-amino-2-exo-hydroxy-1,7,7-trimethylbicyclo[2.2.1]heptane, potassium hydride, methyl iodide","8.06 g (0.041 mol), 9.47 g (0.083 mol), 13 mL (0.21 mol)","N-Methyl-(1R,2S,6R,7S)-1,10,10-trimethyl-4-oxo-5-aza-3-oxatricyclo[5.2.1.0]decane",2.77 g (32%),THF,"0°C, room temperature",10 hours,32%
volume79article16_4_1,"N-methyl-(1R,2S,6R,7S)-1,10,10-trimethyl-4-oxo-5-aza-3-oxatricyclo[5.2.1.0]decane, lithium aluminum hydride","2.77 g (0.013 mol), 5.20 g (0.075 mol)","(2S)-(−)-3-exo-(dimethylamino)isoborneol, [(2S)-(−)-DAIB]",2.19 g,THF,reflux,18 hours,84%
volume79article17_1_1,"(2S)-(−)-3-exo-(dimethylamino)isoborneol, diethylzinc, benzaldehyde","371 mg (1.88 mmol), 25.4 mL (113 mmol), 10.0 g (94.2 mol)",(S)-1-phenyl-1-propanol,12.4 g,toluene,"-78°C, 0°C",6 hours,97%
