nohup: ignoring input
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 95% lithium aluminum hydride, ethyl acetate, (1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide, tetrahydrofuran, trifluoroacetic acid, aqueous hydrochloric acid, sodium bicarbonate | 2.95 g (73.9 mmol), 10.7 mL (109 mmol), 10.0 g (32.1 mmol), N/A, 25 mL (325 mmol), N/A, N/A | (R)-α-methylbenzenepropanal | 3.64 g | hexanes, tetrahydrofuran, ethyl acetate | 0°C, warming to 23°C | 1.25 hr for ethyl acetate addition, 5 min for addition of amide, 1 hr at 0°C, 5 min post hydrolysis | 76% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| pseudoephedrine-(R)-2-methylhydrocinnamamide, diisopropylamine, butyllithium in hexanes, borane-ammonia complex | 10.0 g (32.1 mmol), 18.9 mL (135 mmol), 53.5 mL (125 mmol), 4.41 g (129 mmol) | (R)-β-Methylbenzenepropanol | 4.35 g | tetrahydrofuran, hexanes | −78°C to 23°C | 50 min + various times for temp steps | 90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide, butyllithium, diisopropylamine, acetic acid | 10.0 g (32.1 mmol), 32.3 mL (77.2 mmol), 4.5 mL (32 mmol), N/A | (R)-2-Methyl-1-phenyl-3-heptanone | 5.80 g | toluene, ether, ethyl acetate, dichloromethane | −78°C to 0°C | N/A | 88% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (R)-(+)-1,1,2-triphenyl-1,2-ethanediol, acetic anhydride, scandium(III) trifluoromethanesulfonate | 35.0 g (0.121 mol), 17.1 mL (0.181 mol), 1.23 g (2.5 mmol) | (R)-(+)-2-Hydroxy-1,2,2-triphenylethyl acetate | 35.42 g (0.107 mol) | acetonitrile | Room temperature | 3 hours | 88% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Benzaldehyde, Pyrrolidine, tert-butyl hydroperoxide in decane | 5.71 mL (6.0 g, 57 mmol), 5.66 mL (4.82 g, 68 mmol), 12.4 mL (62-74 mmol) | N-benzoyl pyrrolidine | 8.74 g (49.9 mmol) | Acetonitrile | 70°C | 6 hours | 88% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline hydrochloride, tert-butanol, sodium hypochlorite | 5.16 g (21.8 mmol), 2.11 mL (21.8 mmol), 30.9 mL (25.1 mmol) | 2-chloro-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline | 4.70-4.83 g | tert-butanol, water, toluene, n-heptane | -5 to 0 °C, room temperature | 30 min, 15 min, 3 h | 95-97% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-thiophenecarboxaldehyde, K2CO3, tosylmethylisocyanide | 11.21 g (100.0 mmol), 24.19 g (175.0 mmol), 21.12 g (100.0 mmol) | 5-(Thiophen-2-yl)oxazole | 12.70 g | methanol | reflux (66 °C) | 4 hours | 84% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 5-(thiophen-2-yl)oxazole, N-bromosuccinimide (NBS), lithium bis(trimethylsilyl)amide | 9.14 g (60.5 mmol), 10.76 g (60.45 mmol), 63.5 mL (1.0 M solution) | 4-Bromo-5-(thiophen-2-yl)oxazole | 11.01 g | DMF, isopropyl alcohol | -15 to -10°C and -78°C, then > 0°C during quench | 30 min each (60 min total) | 79% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| phenylmagnesium chloride, L-Valine methyl ester hydrochloride | 300 g (288 mL, 0.576 mol), 19.2 g (114 mmol) | (2S)-2-Amino-3-methyl-1,1-diphenyl-butan-1-ol | 18.1 g | THF, ethyl acetate | room temp, -2 °C | 50 min, 2 h | 62% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| triisopropyl borate, ethylene glycol, (2S)-2-amino-3-methyl-1,1-diphenyl-butanol, toluene | 3.88 g (4.7 mL, 20.6 mmol), 1.26 g (20.3 mmol), 5.20 g (20.4 mmol), 85 mL | (-)-(S)-1-(1,3,2-Dioxaborolan-2-yloxy)-3-methyl-1,1-diphenylbutan-2-amine | 6.56 g | toluene | 80°C, then cooled to ambient temperature | 20 min, then cooled over 30 min and dried for 15 h | 99% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-------------------|----------|-----------------|----------|----------------------|----------------|-------|
| 3-acetyl pyridine, NH2OH•Cl, Na2CO3 | 12.1 g (100 mmol), 11.85 g (170 mmol), 7.46 g (70 mmol) | (E)-1-pyridin-3-yl-ethanone oxime | 12.7 g (93% total for two crops) | EtOH, water | 55°C initially, then 60°C, 70°C | 2.5 h, 3 h cooling | 83% (1st crop), 10% (2nd crop) |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (E)-1-pyridin-3-yl-ethanone oxime, sodium hydride, benzyl bromide | 10.95 g (80.5 mmol), 4.59 g (60%, 115 mmol), 14.45 g (85 mmol) | (E)-1-pyridin-3-yl-ethanone O-benzyl-oxime | 18.02 g | DMF, water, EtOAc | -15°C to 23°C | 40 min, 30 min (-12 to -10°C), 15 min (addition) | 99% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Spiroborate ester, Borane-tetrahydrofuran complex, (E)-1-pyridin-3-yl-ethanone O-benzyl-oxime | 5.80 g (18 mmol), 235 mL (235 mmol), 13.54 g (60 mmol) | (S)-1-Pyridin-3-yl-ethylamine | 8.03 g | anhydrous dioxane, methanol | Room temperature, then 0-5 °C, Reflux (67-69 °C) | 0.5 h, 30 h, 15 h | 91% (83 wt% pure), ee 98% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (S)-1-Pyridin-3-yl-ethylamine 4, MeOH, hydrochloric acid in ether | 7.49 g (83% pure, 50.9 mmol), 25 mL, 2.0 M, 60 mL (120 mmol) | (S)-1-pyridin-3-yl-ethylamine hydrochloride (5) | 8.90 g | MeOH, diethyl ether | Ambient temperature, rises to 30°C | 20 min + 2 h stirring | 89% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Aryl amines, B2pin2, dibenzoyl peroxide (BPO) | N/A, N/A, N/A | Arylboronates | N/A | N/A | Room temperature | 1-2 hours | Moderate to good, trace for certain substrates |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| celecoxib, potassium carbonate, 2-mesityl-2,5,6,7-tetrahydropyrrolo[2,1-c][1,2,4]triazol-4-ium chloride, benzaldehyde, benzyl bromide | 7.00 g (18.4 mmol), 5.07 g (36.7 mmol), 97 mg (0.37 mmol), 2.25 mL (2.33 g, 22.0 mmol), 3.27 mL (4.70 g, 27.5 mmol) | 1-(4-(Benzylsulfonyl)phenyl)-5-(p-tolyl)-3-(trifluoromethyl)-1H-pyrazole | 7.23 g | anhydrous ethanol, DMF | 70 °C, 20-24 °C | 16 h, 3 h | 86% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| pyronin Y, sodium phosphate tribasic dodecahydrate, iodine, sodium phosphate, water | 7.40 g (24.4 mmol), 18.6 g (48.8 mmol), 6.20 g (24.4 mmol), 9.30 g (24.4 mmol), 7.00 mL (389 mmol) | 3,6-Bis(dimethylamino)-9H-xanthen-9-one | 3.65 g | NMP, water, methylene chloride, methanol | 110 ºC, 23 ºC | 2 h, overnight, 1 h | 53% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Polyethylene glycol, sulfuric acid, methanol, cellulose, NaHCO3, Na2SO4, ethyl acetate | 200 g PEG, 2.50 g (25.5 mmol) H2SO4, 15 mL CH3OH, 50 g cellulose, 5 g NaHCO3, 3.0 g Na2SO4 | (-)-Levoglucosenone (LGO) | 13.9 g | methanol, ethyl acetate | 170-190 °C | 15 min to melt, 30 min reaction | 18% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|----------|-----------------------|---------------|-------|
| tert-butyl-N-hydroxycarbamate, triethylamine, diphenylphosphinic chloride | 30.9 g (232 mmol), 37 mL (264 mmol), 50.0 g (211 mmol) | tert-butyl (diphenylphosphoryl)oxycarbamate | 67.0 g (201 mmol) | dichloromethane, hexane | -5 °C to -15 °C (cooling), >10 °C (warming), Room temperature (stirring) | 30 min (addition), 12 h (stirring) | 95% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tert-butyl-(diphenylphosphoryl) oxycarbamate, methanesulfonic acid, diisopropylethylamine | 10.0 g (30.0 mmol), 5.85 mL (8.65 g, 90.0 mmol), 10.5 mL (60.0 mmol) | O-(Diphenylphosphinyl)hydroxylamine | 5.32 g (22.8 mmol) | dichloromethane | -5 °C, then 0-5 °C | 2 hours, then 1 hour | 76% |
runningtime:669.023648250848
