Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume90article3_1_50,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_51,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_52,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_53,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_54,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_55,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_56,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_57,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_58,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_59,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_60,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_61,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_62,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_63,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_64,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_65,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_66,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_67,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_68,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_69,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_70,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_71,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_72,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_73,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_74,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_75,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_76,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_77,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_78,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_79,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_80,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_81,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_82,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_83,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_84,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_85,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_86,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_87,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_88,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume27article26_1_1,"Magnesium, methyl chloride, crotonaldehyde","61 g (2.5 gram atoms), 130 ml (130 g, 2.6 moles), 142 g (2.02 moles)",3-penten-2-ol,140-150 g,dry ether,"0°C, room temperature",1 hour,81-86%
volume29article7_1_1,"2-amino-2-methyl-1-propanol, concentrated sulfuric acid, sodium hydroxide","100 g (107 ml, 1.12 moles), 110 g (60 ml, 1.06 moles), 100 g (2.5 moles)","2,2-Dimethylethylenimine",36-41 g,water,"115°C, 175°C, 125°C",N/A,45-51%
volume29article7_2_1,"2,2-dimethylethylenimine, Raney nickel","35.5 g (0.5 mole), 9 g",tert-Butylamine,55-60 g,dioxane,60°C,N/A,75-82%
volume29article7_3_1,"concentrated sulfuric acid, urea, tert-butyl alcohol","193 g (105 ml, 1.98 moles), 60 g (1 mole), 148 g (188 ml, 2 moles)",tert-Butylurea,36-39 g,water,20-25°C,overnight,31-33%
volume29article7_4_1,"tert-butylurea, phthalic anhydride","35 g (0.3 mole), 100 g (0.675 mole)",tert-Butylphthalimide,43-46.5 g,"95% ethanol, petroleum ether",200-240°C,"10 minutes, 5 minutes",72-76%
volume29article7_5_1,"tert-butylphthalimide, hydrazine hydrate","203 g (1 mole), 59 g (1 mole)",tert-Butylamine hydrochloride,79-97 g,ethanol,reflux,2 hours,72-88%
volume29article7_6_1,"tert-butylamine hydrochloride, sodium hydroxide, potassium carbonate","109.5 g (1 mole), 150 ml, N/A",tert-Butylamine,46-69 g,N/A,N/A,N/A,64-94%
volume29article7_7_1,"sodium hydroxide pellets, tert-butylurea","60 g (1.5 moles), 70 g (0.6 mole)",tert-butylamine,31-34 g,ethylene glycol,reflux,4 hours,71-78%
volume30article28_1_1,"methylmagnesium bromide, cinnamaldehyde","0.515 mole, 66.1 g (0.50 mole)","trans-1-phenyl-1,3-butadiene",47-49 g,ether,Below 10°C,20 minutes,72-75%
volume30article33_1_1,"cyclohexanone, acetic acid, phenylhydrazine","98 g (1 mole), 360 g (6 moles), 108 g (1 mole)","1,2,3,4-tetrahydrocarbazole",120-135 g,acetic acid,reflux,1 hour,76-85%
volume30article35_1_1,"powdered sodium, arsenic trichloride, chlorobenzene","130 g (5.65 g atoms), 170 g (0.94 mole), 272 g (2.42 moles)",Triphenylarsine,218-225 g,"benzene, ethanol","reflux, 110-120°C",12 hours,88-91%
volume30article35_2_1,"Triphenylarsine, hydrogen peroxide","100 g (0.33 mole), 46 g (0.41 mole)",Triphenylarsine oxide,89-92 g,"acetone, benzene",25-30°C,30 minutes,84-87%
volume30article35_3_1,"triphenylarsine oxide, bromobenzene, magnesium, benzene, phenylmagnesium bromide, water, hydrochloric acid","40 g (0.124 mole), 34.6 g (0.22 mole), 6.0 g (0.25 g atom), 1 L, N/A, 100 ml, 500 ml",Tetraphenylarsonium chloride hydrochloride,42-45 g,benzene,reflux,1.5-2 hours,74-80%
volume30article37_1_1,"Silver nitrate, sodium hydroxide, vanillin","170 g (1.0 mole), 44 g (1.07 moles), 152 g (1.0 mole)",Vanillic acid,140-160 g,water,55-60°C,10 minutes,83-95%
volume30article37_2_1,"Sodium hydroxide pellets, potassium hydroxide pellets, water, vanillin","178 g (4.3 moles), 178 g (2.7 moles), 50 ml, 152 g (1.2 moles)",Vanillic acid,150-160 g,water,160-195°C,N/A,89-95%
